Entity,English entity
¸ÌéÙÇàÃ¹²¡,Citrus blue mold
¸ÌéÙĞ¡ÊµÓ¬,Oriental fruit fly
¸ÌéÙ´óÊµÓ¬,Chinese citrus fly
éÙ¶ş²æÑÁ,Black citrus aphid
éÙÑÁ,Tropical Citrus aphid
´óÂÌòí,nan
¹ÏºÖòí,Nine incense bug
¸ÌéÙ·ÛÊ­,citrus whiefly
ºÚ´Ì·ÛÊ­,Citrus spiny white fly
¸ÌéÙÄ¾Ê­,Citrus psylla
´µÃàò»,Cottony cushion scale
¶ÑÀ¯·Ûò»,Citrus mealy bugs
Ê¸¼âò»,Arrowhead scale
ºìÀ¯ò»,Red wax Scale
ºÖÔ²ò»,Florida red scale
¿·Æ¬ò»,Chaff scale
¸ÌéÙÈ«×¦òı,Citrus red mite
¸ÌéÙÊ¼Ò¶òı,nan
¸ÌéÙ·ïµû,Citrus swallowtail
ÄâĞ¡»Æ¾íÒ¶¶ê,Citrus leaf-rollers
²èËò¶ê,Tea bagworm
ÓÍÍ©³ß¶ê,nan
´ïÄ¦·ïµû,chequered swallowtail butterfly£¬lemon butterfly
Óñ´ø·ïµû,White-banded swallowtails
¸ÌéÙ¶ñĞÔÒ¶¼×,nan
ÂÌÁÛÏó¼×,Cotton green weevil
¸ÌéÙ»ÒÏó¼×,nan
¸ÌéÙÇ±Ò¶¶ê,Citrus leaf miner
¸ÌéÙ±¬Æ¤³æ,flatheaded citrus borer
¸ÌéÙÁïÆ¤³æ,Citrus buprestids
éÙºÖÌìÅ£,nan
¹â¶ÜÂÌÌìÅ£,nan
ºÚ³áÍÁ°×ÒÏ,Formosan subterranean termite
ÀóÖ¦ËªÒßÃ¹²¡,Litchi downy blight
ÀóÖ¦Ì¿¾Ò²¡,Litchi anthracnose
ÀóÖ¦Ëá¸¯²¡,Litchi sour rot
ÀóÖ¦Ôå°ß²¡,Litchi algal spot¡£
ÀóÖ¦¹íÖã²¡,Litchi witches¡¯broom
ÀóÖ¦Ò¶°ß²¡,Litchi brown blotch
ºÚòÆ²õ,Black cicada
ÁúÑÛºÖ°ß²¡,Longan brown blotch
ÇÅÒ¹¶ê,Anomis mesogona Walker
ÀóÖ¦°ßµã²¡,Litchi Coniothyrium leaf spot
ÀóÖ¦¿Ç¶şæßÒ¶°ß²¡,nan
ÀóÖ¦ÃºÑÌ²¡,Litchi sooty mold
ÀóÖ¦Ò¶¿İ²¡,Litchi leaf blight
ÀóÖ¦µØÒÂ²¡,nan
ÀóÖ¦ÁÑ¹û,nan
ÀóÖ¦òí,Litchi stink-bug
ÀóÖ¦ñ¨òı,nan
ÁúÑÛ½Ç¼ÕÄ¾Ê­,Longan psyllid
ºì´ø»¬ĞØÕë¼»Âí,nan
ÀóÖ¦È×¶¾¶ê,Litchi pale tussock moth
°×¶êÀ¯²õ,Mango cicada
ÁúÑÛ»Ò°ß²¡,Psstalozzia leaf spot
ÁúÑÛËá¸¯²¡,nan
Ë«ÏßµÁ¶¾¶ê,Cashew hairy catepillar
Ğ¡°×ÎÆ¶¾¶ê,Small tussock moth
Ø³ÎÆÏ¸¶ê,nan
±ÍÂéÒ¹¶ê,nan
Ã«³áÒ¹¶ê,Rose of Sharon leaf-like moth
ÂäÒ¶Ò¹¶ê,nan
²è¾íÒ¶¶ê,nan
ÓÍÍ©³ßó¶,nan
¿§·ÈÄ¾ó¼¶ê,Red coffee borer
°×ÄÒËò¶ê,White psychid
ÒøÃ«´µÃŞò»,Okada cottony-cushion scale
ÁúÑÛ¼¦,Longan lantern-fly
½ÇÀ¯ò»,Indian wax scale
çêòí,Brown-winged green bug
µã·äÔµòí,Been bug
Ğ¡Çà»¨½ğ¹ê,Smaller green flower chafer
°×ĞÇ»¨½ğ¹ê,White-spotted flower chafer
Ã¢¹ûÌ¿¾Ò²¡,Mango anthracnose
Ã¢¹û´¯ğè²¡,Mango scab
Ã¢¹ûÁ÷½º²¡,Mango gummosis
Ã¢¹ûÏ¸¾úĞÔºÚ°ß²¡,nan
Ã¢¹û°×·Û²¡,Mango powdery mildew
Ã¢¹ûºÚÉ«µÙ¸¯²¡,Mango storage Dothiorella rot
Ã¢¹ûºÖÉ«µÙ¸¯²¡,Phomopsismangiferae Ahmad
Ã¢¹ûºáÎÆÎ²Ò¹¶ê,Mango shoot-borer
ºÖ±ßÂÌ´Ì¶ê,Green cochlid
¼¹ĞØÌìÅ£,nan
–x¹û±âà¹Ò¶²õ,nan
´óÇàÒ¶²õ,Green leafhopper
»ÆºÖÌìÄ»Ã«³æ,common lackey moth
èÁèË»Ò°ß²¡,Loquat gray leaf spot
èÁèË°ßµã²¡,Loquat Phyllosticta leaf spot
èÁèËÌ¿¾Ò²¡,Loquat anthracnose
èÁèËºúÂéÉ«°ßµã²¡,Loquat Entomosporium leaf spot
èÁèË»ÆÃ«³æ,Loquat nolid
»ÆĞÇÌìÅ£,yellow-spotted longicorn beetle
Ïã½¶½»ÂöÑÁ,banana aphid
²İİ®ÒßÃ¹¹û¸¯²¡,nan
Ïã½¶°ÍÄÃÂí¿İÎ®²¡,Banana Panama disease
Ïã½¶»ÒÎÆ²¡,Banana cordana leaf spot
Ïã½¶ºÖÔµ»Ò°ß²¡,Banana cercospora leaf spot
Ïã½¶ÃºÎÆ²¡,Banana helminthosporium leaf spot
Ïã½¶ºÚĞÇ²¡,Banana freckle disease
Ïã½¶Ì¿¾Ò²¡,Banana anthracnose
Ïã½¶Öá¸¯²¡,nan
Ïã½¶»¨Ò¶ĞÄ¸¯²¡,Banana mosaic disease
Ïã½¶Êø¶¥²¡,Banana bunchy top
°ßĞëòí,Sugarbeet stink bug
Ó£ÌÒºÖ°ß²¡,Cherry shothole brown spot
ÀæĞ¡Ê³ĞÄ³æ,Oriental fruit moth
ÀîĞ¡Ê³ĞÄ³æ,Plum fruit moth
ËÄÎÆÀö½ğ¹ê,Four spotted beetle
Ğ¡»Æ¾íÒ¶¶ê,nan
¶¥Ñ¿¾í¶ê,Apple fruit licker
ÌÒ°ß¶ê,Ume bud moth
É½é«Ò¶òı,Hawthorn spider mite
Àî¿İÒ¶¶ê,Plum leaf-like moth
ÌìÄ»Ã«³æ,Tent caterpillar
¹â¼çĞÇÌìÅ£,Glabrous spotted willow borer
Á£¼çÌìÅ£,Mulberry longicorn
ÌÒ·Û´óÎ²ÑÁ,Mealy Plum aphid
³¯ÏÊÇò¼áò»,Korean lÈéÓÍanium
É£°×ò»,White peach scale
ĞÓÇò¼áò»,Korean lecanium
Ó£ÌÒºÖ¸¯²¡,Sweet cherry brown rot
Ó£ÌÒÌ¿¾Ò²¡,Sweet cherry anthracnose
Ó£ÌÒ»ÒÃ¹²¡,Sweet cherry gray mold
Ó£ÌÒÊ÷»ÒÉ«¸àÒ©²¡,Sweet cherry gray felt disease
Ó£ÌÒÓ×¹û¾úºË²¡,nan
Ó£ÌÒĞ¡¹û²¡,nan
Ó£ÌÒ»µËÀĞâ°ß²µ²¡,Cherry rusty mottle
Ó£ÌÒÊ÷¾¥¹µ²Û²¡,nan
Ó£ÌÒ°ßÁ÷½º²¡,Cherry gummosis
Ó£ÌÒËõ¹û²¡,nan
¹û½£ÎÆÒ¹¶ê,Cherry dagger moth
Æ»ÕÆÖÛ¶ê,Cherry caterpillar
Æ»ÒÏÖÛ¶ê,Japanese prominent
ÌÒÌì¶ê,Peach hornworm
ÌÒÇ±Ò¶¶ê,Peach leaf miner
Ó£ÌÒÊµ·ä,nan
ÌÒºì¾±ÌìÅ£,Peach longicorn beetle
òÆ²õ,nan
ºÚĞÇÂó¶ê,nan
ĞÓ°×´øÂó¶ê,nan
Ã·Ä¾¶ê,Isshiki xylorictid
ÌÒ°×Ìõ×Ï°ß¶ê,nan
Ó£ÌÒÕ³Ò¶·ä,cherrysawfly
Ó£ÌÒ¾íÒ¶ÑÁ,nan
Ó£ÌÒñ¨ÁöÍ·ÑÁ,nan
Ã·ÁöÑÁ,nan
Ã·»ÒÃ¹²¡,Ume plum gray mold
Ğ¡ÂÌÒ¶²õ,Smaller green leafhopper
²è³áòí,Yellow-brown stink bug
ÀæÍøòí,pear lace bug
Ã·À£Ññ²¡,Ume plum canker
Ã·Ò¶Ì¿¾Ò²¡,Ume plum anthracnose
Ã·ºÚĞÇ²¡,Ume plum scab
Ã·Ö¦¿İ²¡,Ume plum shoot blight
ºì¸¹çË¹ÜÑÁ,rice root aphid
ÆÏÌÑºÚ¸¯²¡,Grape black rot
ÆÏÌÑÃºµã²¡,nan
ÆÏÌÑÄâ¾¥µãÃ¹¸¯ÀÃ²¡,nan
ÆÏÌÑ°×¸¯²¡,Grape white rot
ÆÏÌÑËëÖáºÖ¿İ²¡,Grape Alternaria spot
ÆÏÌÑÌ¿¾Ò²¡,Grape ripe rot
ÆÏÌÑ·¿¿İ²¡,Caucasus grape black rot
ÆÏÌÑ´ó·¿¿İ²¡,nan
ÆÏÌÑºÚ¶»²¡,Grape spot anthracnose
ÆÏÌÑ¿à¸¯²¡,Grape bitter rot 
ÆÏÌÑËªÃ¹²¡,Grape downy milde
ÆÏÌÑ»ÒÃ¹²¡,Grape gray mold
ÆÏÌÑ°×·Û²¡,Grape powdery mildew
ÆÏÌÑÅÌ¶àÃ«æßÂû¿İ²¡,nan
ÆÏÌÑĞâ²¡,Grape rust
ÆÏÌÑÆ¤¶ûË¹²¡,Grape pierce¡¯disease
ÆÏÌÑ¸ù°©²¡,Grape tumor
ÆÏÌÑ¾íÒ¶²¡,Grape leaf roll
ÆÏÌÑÉÈÒ¶²¡,Grape fan leaf
ÆÏÌÑ»Æµã²¡,Grape yellow spot
ÆÏÌÑË¨Æ¤²¡,Grape corky bark virus
ÆÏÌÑ¾¥¶»²¡,Grape stem pitting
ÆÏÌÑ°ßµã²¡,nan
ÆÏÌÑ»Æ½ğ²¡,Grape yellow leaf
ÆÏÌÑÎ®Ëõ²¡,nan
ÆÏÌÑ»ÆÂö²¡,Grapevine yellow vein
ÆÏÌÑ»¨Ò¶²¡,nan
ÆÏÌÑ¸ù¸¯Ïß³æ²¡,nan
ÆÏÌÑ¸ù½áÏß³æ²¡,Grape root-knot nematode
ÆÏÌÑ½£Ïß³æ²¡,nan
ÆÏÌÑ×ªÉ«²¡,nan
ÆÏÌÑËá¸¯²¡,nan
ÆÏÌÑÈÕ×Æ²¡,Grape sunscald
ÆÏÌÑÉúÀíĞÔÁÑ¹û²¡,nan
ÆÏÌÑ»ÆÒ¶²¡,Grape yellow leaf
ÆÏÌÑÈ±Ìú²¡,nan
ÆÏÌÑÈ±Ã¾²¡,Grape magnesium deficiency
ÆÏÌÑÈ±ÅğËõ¹û²¡,nan
ÆÏÌÑÈ±¼Ø²¡,nan
ÆÏÌÑÈ±Ğ¿²¡,nan
ÆÏÌÑ³¤Ğë¾í¶ê,Long-palpi tortrix
ÆÏÌÑÌì¶ê,Grape horn worm
È¸ÎÆÌì¶ê,Small hawk moth
ÆÏÌÑ°ß¶ê,Grape leaf worm
ĞıÄ¿Ò¹¶ê,Velvety huge-comma
ÆÏÌÑ»¢¶ê,Boston ivy tiger-moth
Ì¨Íå»Æ¶¾¶ê,Taiwan yellow moth
ÆÏÌÑÊ®ĞÇÒ¶¼×,Grape leaf beetle
ÆÏÌÑñ¨ÎÃ,nan
ÆÏÌÑ¸ùÁöÑÁ,Grape phylloxera
ÆÏÌÑ°ßÒ¶²õ,Grape leafhopper
ÌÒÒ»µã°ßÒ¶²õ,Peach leafhopper
°ßÒÂÀ¯²õ,Chinese blisteringcicada
ÑÌ¼»Âí,Onion thrips
ÆÏÌÑ¶ÌĞëòı,nan
ÆÏÌÑ»¢ÌìÅ£,Grape borer
ÆÏÌÑÍ¸³á¶ê,Grape clear wing moth
°ßà¹Àö½ğ¹ê,Chestnut brown chafer
â¨ºïÌÒºÖÉ«Âé°ß²¡,Yangtao Pseudocercospora leaf spot
â¨ºïÌÒºÖ¸¯²¡,Yangtao brown rot
â¨ºïÌÒºÖ°ß²¡,Yangtao Mycosphoerella leaf spot
â¨ºïÌÒ»ÒÃ¹²¡,Yangtao gray mold rot
â¨ºïÌÒÀ£Ññ²¡,Yangtao canker
â¨ºïÌÒ¹ûÊµÈí¸¯²¡,Yangtao bacterial soft rot
ÀõÄ¾¸¯²¡,Chestnut Schizophyllum rot
ÀõÖ¦¿İ²¡,Chestnut twig blight
Àõ¸É¿İ²¡,Chestnut canker
Àõ°×·Û²¡,Chestnut powdery milde
ÀõºìğàÖ¦¿İ²¡,nan
ÀõÌ¿¾Ò²¡,Chestnut anthracnose
ÀõÖÖÈÊ°ßµã²¡,Chestnut seed mold rot
ÀõÀ£Ññ²¡,Chestnut bacterial canker
ÀõÒ¶¿İ²¡,nan
Àõ´óÑÁ,Large chestnut aphid
ÀõĞ¡×¦òı,spruce spider mite£¬conifer spinning mite
ÀõÊµÏó³æ,Chestnut weevil
ÀõÍ¸³á¶ê,Chinese chestnut clearwing moth
Àõñ¨·ä,Chestnut gall wasp
ÒøĞÓ´ó²Ï¶ê,Giant silk moth
ºËÌÒÊ÷¸¯ÀÃ²¡,Walnut Cytospora canker
ºËÌÒºÚÁ£Ö¦¿İ²¡,Walnut Melanconis disease
ºËÌÒ»Ò°ß²¡,Walnut leaf blight
ºËÌÒºÚ°ß²¡,Walnut bacterial blight
ºËÌÒ°×·Û²¡,Walnut powdery milde
ºËÌÒÌ¿¾Ò²¡,Walnut anthracnose
ºËÌÒºÖ°ß²¡,Walnut brown spot
ºËÌÒ¾ÙÖ«¶ê,Walnut sun moth
ºËÌÒ×ºÒ¶Ãø,nan
ÔÆ°ßÌìÅ£,Whitestriped longicorn beetle
ºËÌÒÒ¶¼×,nan
ÃÀ¹ú°×¶ê,Fall webworm
ºËÌÒºÚ°ßÑÁ,walnut aphid
ÔæĞâ²¡,Common Jujube rust
ÔæºÚ¸¯²¡,Jujube black rot
Ôæ½¹Ò¶²¡,Jujube leafscorch
ÔæÌ¿¾Ò²¡,Jujube anthracnose
ÔæÂÖÎÆ²¡,Jujube perennial canker
Ôæ»Ò°ß²¡,Jujube gray leaf spot
ÔæÒ¶ºÚ°ß²¡,Jujube leaf blackspot
ÔæÊ÷Ö¦¿İ²¡,Jujube tree twig blight
ÔæÃç¾¥¸¯²¡,Jujube ashy-stem blight
ÔæÊ÷¸ùĞà²¡,Armillaria root rot
ÔæÊ÷¸¯ÀÃ²¡,Jujube canker
Ôæ¹ûÇàÃ¹²¡,Jujube blue mold
ÔæËõ¹û²¡,Jujube fruit Erwinia rot
ÔæÊ÷¸ù°©²¡,Jujube crown gall
Ôæ°×¸¯²¡,Jujube white rot
Ôæ¹ûĞâ²¡,nan
ÔæÁÑ¹û²¡,Jujube fruit split
Ôæ·è²¡,Jujube witches broom
ÔæÊ÷»¨Ò¶²¡,Jujube mosaic
Ôæñ¨ÎÃ,Jujube midge
Ôæ·ÉÏó,Bud-eating Weevil
ºìÔµÌìÅ£,Red£­striped longicorn
ÀæÒ¶·ä,nan
Àæ¶ş²æÑÁ,Pear aphid
Àæ´óÑÁ,nan
Àæ»Æ·ÛÑÁ,Pear phylloxer
Àæ±±¾©Ô²Î²ÑÁ,nan
ÀæóÒÔ²¶Üò»,San Jose scale
Àæòí,Pear stink bug
ÖĞ¹úÀæÄ¾Ê­,Chinese pear jumping plant lice
ÀæËõÒ¶±ÚÊ­,nan
ÀæÇ±Æ¤Ï¸¶ê,Pear bark miner
ÀæÒ¶Ö×ñ¨òı,Pear leaf blister mite
Àæñ¨»ª¶ê,Pear twig gall moth
Àæ¾¥·ä,Pear twig girdler
ÀæÑÛÌìÅ£,Blue pear twig borer
ÀæĞ¡¼ª¶¡³æ,Pear branch borer
Àæ½ğÔµ¼ª¶¡,Yellow-margined buprestid
Àæ½£ÎÆÒ¹¶ê,Sorrel cut worm
Àæ»Æ¾í¶ê,Asiatic leaf roller
ÀæÊ³Ñ¿¶ê,Pear budmoth
¹ûºìÈ¹±âÉíÒ¹¶ê,Striped black moth
Àæ´óÒ¶·ä,nan
Àæ´óÂÌÑÁ,Pear green aphid
ÑÎÔ´Æ¬¶Üò»,nan
ÁÉÀæÄ¾Ê­,nan
É½é«°×·Û²¡,Japanese hawthorn powery milde
É½é«Ğâ²¡,Japanese hawthorn rust
É½é«Ò¶°ß²¡,Chinese hawthorn Phyllosticta leaf spot
É½é«»¨¸¯²¡,Hawthorn blossom blight
É½é«¸¯ÀÃ²¡,Hawthorn Valsa canker
É½é«¿İÉÒ²¡,Hawthorn fruit-bearing shoot withering
É½é«¸É¿İ²¡,Hawthom trunk blotch
É½é«ºÚĞÇ²¡,Hawthorn scab
É½é«Á¢¿İ²¡,nan
É½é«ÈÕ×Æ²¡,nan
É½é«Ğ¡Ê³ĞÄ³æ,lesser hawthorn fruit moth 
°×Ğ¡Ê³ĞÄ³æ,Larger apple fruit moth
É½é«¾î·Ûµû,Black-veined white butterfly
É½é«»¨Ïó¼×,nan
É½é«Ó©Ò¶¼×,nan
½ğ»·ºú·ä,Yellow jacket
É½é«¿¦Ä¾Ê­,nan
Ñ¿°×Ğ¡¾í¶ê,Apple fruit licker
»Æ°ß³¤³á¾íÒ¶¶ê,Yellow tortrix
ÀæĞÇÃ«³æ,Pear leaf worm
ÃŞÁå³æ,Cotton boll worm
Æ»¹ûÇòò»,Globular Apple scale
½ğÔµ¼ª¶¡³æ,Yellow-margined buprestid
ĞıÎÆÇ±Ò¶¶ê,Pear leaf blistermoth
±â´Ì¶ê,Nettle grub
ºì×Ø»ÒÒ¹¶ê,Muberry caterpillar
É£ñŞ³á³ßó¶,Mulberry looper
Æ»Ã«Àö½ğ¹ê,Proagopertha lucidula
ÃŞ»¨»¡Àö½ğ¹ê,Mutant Japanese beetle
¶«·½¿øò»,nan
ÌÒºÖ°ß´©¿×²¡,Peachbrown  spot shot hole
ĞåÏß¾ÕÑÁ,Citrus aphid
ÌÒÊ÷¸¯ÀÃ²¡,Peachtree canker
ÌÒËõÒ¶²¡,Peachtree leaf curl
ÌÒÃ¹°ß´©¿×²¡,Peach Clasterosporium shot hole
ÌÒºÚĞÇ²¡,Peach scab
ÌÒºÚ°ß²¡,Peach black spot
ÌÒÀ£Ññ²¡,Peach Cylindrocladium canker
ÌÒÒß¸¯²¡,Peach collar rot
ÌÒÌ¿¾Ò²¡,Peach anthracnose
ÌÒÊµ¸¯²¡,Peach fruit rot
ÌÒÏ¸¾úĞÔ´©¿×²¡,Peach bacterial shot hole
ÌÒ°×·Û²¡,Peach powdery mildew
ÌÒÊ÷·ÇÇÖÈ¾ĞÔÁ÷½º²¡,Peach gummosis
ÌÒÊ÷ÇÖÈ¾ĞÔÁ÷½º²¡,Peachtree Botryosphaeria gummosis
ÌÒÃºÎÛ²¡,Peach tree sooty blotch
ÌÒÍÊÂÌÒ¶°ß²¡,Peach chlorotic leafspot virus
Æ»Ã«³æ,Apple caterpillar
ÌÒÊ÷Ä¾¸¯²¡,Peach tree wood rot
ÌÒÊ÷¸ùĞà²¡,Peach root decay
ÌÒºÖ¸¯²¡,Peach brown rot
ÌÒÇúÃ¹²¡,Peach aspergillosis
ÌÒºÖĞâ²¡,Peach brown rust
ÌÒ°×Ğâ²¡,Peach white rust
ÌÒÈí¸¯²¡,Peach soft rot
ÌÒ»ÒÃ¹²¡,Peach gray mold
ÌÒ°×ÎÆÓğ²¡,Peach tree white root rot
ÌÒÊ÷°×¾î²¡,Peach tree southern blight
ÌÒºì·Û²¡,Peach pink milde
ÌÒ¸ù°©²¡,Peach crown gall
ÌÒÇ±Òş»¨Ò¶²¡,Peach latent mosaic
ÌÒÊ÷ºìÒ¶²¡,Peach tree red leaf
ÌÒ»µËÀ»·°ß²¡,Peach necrotic ringspot virus
ÌÒÔ°¸ù½áÏß³æ²¡,Peach tree root-knot nematode disease
ÌÒñ¨òı»û¹û²¡,Peach mite deformed fruit
ÌÒÊ÷È±µªÖ¢,Peach nitrogen deficiency
ÌÒÊ÷È±Á×Ö¢,Peach phosphorus deficiency
ÌÒÊ÷È±¼ØÖ¢,Peach potassium deficiency
ÌÒÊ÷È±ÌúÖ¢,Peach tree iron deficiency
ÌÒÊ÷È±Ğ¿Ö¢,Peach tree Zn-deficiency
ÌÒÊ÷È±¸ÆÖ¢,Peach tree Ca-deficiency
ÌÒÊ÷È±Í­Ö¢,Peach tree Cu-deficiency
ÌÒÊ÷È±ÃÌÖ¢,Peach tree Mn-deficiency
ÌÒÊ÷È±ÅğÖ¢,Peach tree B-deficiency
ÌÒ½£ÎÆÒ¹¶ê,Apple dagger moth
É£½£ÎÆÒ¹¶ê,Large dagger moth
À¶Ä¿Ìì¶ê,Cherry horn worm
ºÖ´Ì¶ê,Thosea haibarana
Ë«³İÂÌ´Ì¶ê,Dlum stinging caterpillar
ÖĞ¹úÂÌ´Ì¶ê,Chines ecochlid
°×Ñî¿İÒ¶¶ê,nan
»Æ°ß¾í¶ê,Yellow tortrix
Ë®Ä¾¼áò»,brown elm scale£¬fruit lecanium
ÌÒĞ¡ó¼,nan
º£ÌÄÍ¸³á¶ê,Chinese crabapple aegeriid
ÌÒÈÊ·ä,nan
ÌÒÁöÑÁ,Peach aphid
Àî´ü¹û²¡,Plum pockets
Àîºìµã²¡,Plum leaf blister
ÀîºÖ¸¯²¡,Plum brown rot
ÀîÏ¸¾úĞÔ´©¿×²¡,Plum black spot or bacterial leaf spot
ÀîÏßÎÆ²¡,Plum line pattern
ÀîÊ÷Á÷½º²¡,Plum tree gummosis
»Æ°ß¾íÒ¶¶ê,Yellow tortrix
ĞÓÏó¼×,Peach curculio
Æ»Ğ¡¾íÒ¶¶ê,Adoxophyes orana Fischer von Rosleratamm
Í­ÂÌÀö½ğ¹ê×Ó,Blue chafer
Àî¶ÌÎ²ÑÁ,leaf curl plum aphid£¬leafcurling plum aphid£¬plum aphid
ĞÓÊ÷¸¯ÀÃ²¡,Apricot tree canker
ĞÓğÛ²¡,Apricot pox
ĞÓºÖ¸¯²¡,Apricot brown rot
ĞÓºÚÁ£Ö¦¿İ²¡,Apricot shoot blight
ĞÓÊ÷Á÷½º²¡,Apricot tree gummosis
ĞÓ¸É¿İ²¡,nan
ĞÓÏ¸¾úĞÔ´©¿×²¡,Apricot bacterial shot hole
Æ»¹ûÂÖÎÆ²¡,Apple ring spot
Æ»¹ûÌ¿¾ÒÀ£Ññ²¡,Apple Cryptosporiopsis Canker
Æ»¹û»Ò°ß²¡,Apple gray spot
Æ»¹û°×ĞÇ²¡,Apple Coniothyrium leaf spot
Æ»¹ûÂÖ°ß²¡,Apple ring spot
Æ»¹ûÊ÷Ö¦À£Ññ²¡,Apple twig canker
Æ»¹ûÊ÷ÅİĞÔÀ£Ññ²¡,Apple tree blister canker
Æ»¹û¸É¿İ²¡,Apple tree Phomopsis
Æ»¹ûÊ÷Ö¦¿İ²¡,Apple tree twig blight
