number,Chinese entity name,entity binomial scientific name,tem,Chinese relation,English relation
63,茶圆赤星病,Chrysanthemum white rust,20℃,温度为,TemperIs
64,绿盲蝽,Lygus lucorum,15℃,温度为,TemperIs
65,茶角盲蝽,Thaumetopea pityocampa,21℃,温度为,TemperIs
66,烟草蛀茎蛾,Scirpophaga excerptalis,5℃,温度为,TemperIs
67,灰地种蝇,Episyrphus balteatus,17℃,温度为,TemperIs
68,油菜立枯病,Fusarium oxysporum,25℃,温度为,TemperIs
69,油菜黑腐病,Xanthomonas campestris,15℃,温度为,TemperIs
70,芝麻茎点枯病,Phomopsis sesame,25℃,温度为,TemperIs
71,中黑盲蝽,Sticta spp.,9℃,温度为,TemperIs
72,大豆花叶病毒病,Soybean mosaic virus,30℃,温度为,TemperIs
73,大豆赤霉病,Fusarium graminearum,30℃,温度为,TemperIs
74,甘薯根腐病,Fusarium oxysporum,27℃,温度为,TemperIs
75,大麦网斑病,Drechslera teres,20℃,温度为,TemperIs
76,麦二叉蚜,Sitobion avenae,5℃,温度为,TemperIs
77,黄麻枯腐病,Fusarium oxysporum,30℃,温度为,TemperIs
78,青花菜白锈病,Albugo candida,10℃,温度为,TemperIs
79,青花菜霜霉病,Peronospora parasitica,16℃,温度为,TemperIs
80,青花菜灰霉病,Botrytis cinerea,20℃,温度为,TemperIs
81,玉米眼斑病,Cercospora zeae-maydis,24℃,温度为,TemperIs
82,玉米细菌性茎腐病,Erwinia chrysanthemi,34℃,温度为,TemperIs
83,稻纵卷叶螟,Cnaphalocrocis medinalis,35℃,温度为,TemperIs
84,直纹稻弄蝶,Plutella xylostella,32℃,温度为,TemperIs
85,稻秆潜蝇,Delia platura,35℃,温度为,TemperIs
86,褐飞虱,Nilaparvata lugens,25℃,温度为,TemperIs
87,稻蓟马,Stenotus rubrovittatus,28℃,温度为,TemperIs
88,小麦秆黑粉病,Ustilago tritici,20℃,温度为,TemperIs
89,小麦炭疽病,Colletotrichum graminicola,25℃,温度为,TemperIs
90,小麦叶锈病,Puccinia triticina,10℃,温度为,TemperIs
