number,Chinese entity name,entity binomial scientific name,Chinese crop name,English crop name,Chinese relation,English relation
51,日本龟蜡蚧,Ceroplastes japonicus,无花果,Fig,危害,Damage
52,日本龟蜡蚧,Ceroplastes japonicus,芒果,mango,危害,Damage
53,日本龟蜡蚧,Ceroplastes japonicus,苹果,apple,危害,Damage
54,日本龟蜡蚧,Ceroplastes japonicus,山楂,hawthorn,危害,Damage
55,日本龟蜡蚧,Ceroplastes japonicus,樱桃,cherry,危害,Damage
56,日本龟蜡蚧,Ceroplastes japonicus,石榴,Pomegranate,危害,Damage
57,康氏粉蚧,Pseudococcus comstocki,苹果,apple,危害,Damage
58,康氏粉蚧,Pseudococcus comstocki,山楂,hawthorn,危害,Damage
59,康氏粉蚧,Pseudococcus comstocki,葡萄,Grape,危害,Damage
60,康氏粉蚧,Pseudococcus comstocki,核桃,Walnut,危害,Damage
61,康氏粉蚧,Pseudococcus comstocki,柑橘,Tangerine,危害,Damage
62,康氏粉蚧,Pseudococcus comstocki,无花果,Fig,危害,Damage
63,康氏粉蚧,Pseudococcus comstocki,荔枝,litchi,危害,Damage
64,康氏粉蚧,Pseudococcus comstocki,石榴,Pomegranate,危害,Damage
65,黑绒金龟子,Maladera orientalis,苹果,apple,危害,Damage
66,黑绒金龟子,Maladera orientalis,山楂,hawthorn,危害,Damage
67,八点广翅蜡蝉,Ricania speculum,苹果,apple,危害,Damage
68,八点广翅蜡蝉,Ricania speculum,樱桃,cherry,危害,Damage
69,八点广翅蜡蝉,Ricania speculum,山楂,hawthorn,危害,Damage
70,八点广翅蜡蝉,Ricania speculum,柑橘,Tangerine,危害,Damage
71,柿疯病,Persimmon witches broom,柿树,Persimmon Tree,危害,Damage
72,柿炭疽病,Colletotrichum gloeosporioides,柿树,Persimmon Tree,危害,Damage
73,柿灰霉病,Botrytis cinerea,柿树,Persimmon Tree,危害,Damage
74,柿角斑病,Cercospora kaki,柿树,Persimmon Tree,危害,Damage
75,柿圆斑病,Mycosphaerella nawae,柿树,Persimmon Tree,危害,Damage
76,柿黑星病,Fusicladium kaki,柿树,Persimmon Tree,危害,Damage
77,柿干枯病,Persimmon canker,柿树,Persimmon Tree,危害,Damage
78,柿蒂虫,Stathmopoda massinissa,黑枣,Black Dates,危害,Damage
79,柿蒂虫,Stathmopoda massinissa,柿树,Persimmon Tree,危害,Damage
80,柿星尺蠖,Percnia giraffata,黑枣,Black Dates,危害,Damage
81,柿星尺蠖,Percnia giraffata,苹果,apple,危害,Damage
82,舞毒蛾,Lymantria dispar,苹果,apple,危害,Damage
83,舞毒蛾,Lymantria dispar,核桃,Walnut,危害,Damage
84,舞毒蛾,Lymantria dispar,山楂,hawthorn,危害,Damage
85,折带黄毒蛾,Euproctis flava,苹果,apple,危害,Damage
86,折带黄毒蛾,Euproctis flava,海棠,Begonia,危害,Damage
87,折带黄毒蛾,Euproctis flava,山楂,hawthorn,危害,Damage
88,折带黄毒蛾,Euproctis flava,樱桃,cherry,危害,Damage
89,折带黄毒蛾,Euproctis flava,枇杷,Loquat,危害,Damage
90,折带黄毒蛾,Euproctis flava,石榴,Pomegranate,危害,Damage
91,折带黄毒蛾,Euproctis flava,蔷薇,rose,危害,Damage
92,褐点粉灯蛾,Alphaea phasma,高粱,Sorghum,危害,Damage
93,褐点粉灯蛾,Alphaea phasma,蓖麻,Castor,危害,Damage
94,褐点粉灯蛾,Alphaea phasma,大豆,Soybean,危害,Damage
95,柿小叶蝉,Erythroneura sp.,葡萄,Grape,危害,Damage
96,柿绒蚧,Eriococcus kaki,黑枣,Black Dates,危害,Damage
97,柿绒蚧,Eriococcus kaki,柿树,Persimmon Tree,危害,Damage
98,柿长绵粉蚧,Phenacoccus pergandei,苹果,apple,危害,Damage
99,柿长绵粉蚧,Phenacoccus pergandei,枇杷,Loquat,危害,Damage
100,苹果梢夜蛾,Hypocala subsatura,苹果,apple,危害,Damage
101,木橑尺蠖,Culcula panterinaria,木橑,Wooden beam,危害,Damage
102,木橑尺蠖,Culcula panterinaria,核桃,Walnut,危害,Damage
103,木橑尺蠖,Culcula panterinaria,苹果,apple,危害,Damage
104,木橑尺蠖,Culcula panterinaria,葡萄,Grape,危害,Damage
105,木橑尺蠖,Culcula panterinaria,山楂,hawthorn,危害,Damage
106,木橑尺蠖,Culcula panterinaria,杂草,Weeds,危害,Damage
107,黑圆角蝉,Gargara genistae,柑桔,Citrus,危害,Damage
108,黑圆角蝉,Gargara genistae,山楂,hawthorn,危害,Damage
109,黑圆角蝉,Gargara genistae,枸杞,Wolfberry,危害,Damage
110,铜绿丽金龟,Anomala corpulenta,苹果,apple,危害,Damage
111,铜绿丽金龟,Anomala corpulenta,山楂,hawthorn,危害,Damage
112,铜绿丽金龟,Anomala corpulenta,樱桃,cherry,危害,Damage
113,铜绿丽金龟,Anomala corpulenta,葡萄,Grape,危害,Damage
114,铜绿丽金龟,Anomala corpulenta,核桃,Walnut,危害,Damage
115,铜绿丽金龟,Anomala corpulenta,草莓,strawberry,危害,Damage
116,铜绿丽金龟,Anomala corpulenta,醋栗,gooseberry,危害,Damage
117,铜绿丽金龟,Anomala corpulenta,豆类,Beans,危害,Damage
118,石榴干腐病,Coniella granati,石榴,Pomegranate,危害,Damage
119,石榴根结线虫病,Meloidogyne sp.,经济作物,Cash crops,危害,Damage
120,石榴根结线虫病,Meloidogyne sp.,果树,Fruit trees,危害,Damage
121,石榴根结线虫病,Meloidogyne sp.,观赏植物,Ornamental plants,危害,Damage
122,石榴根结线虫病,Meloidogyne sp.,杂草,Weeds,危害,Damage
123,石榴巾夜蛾,Parallelia stuposa,石榴,Pomegranate,危害,Damage
124,石榴巾夜蛾,Parallelia stuposa,月季,Rose,危害,Damage
125,石榴巾夜蛾,Parallelia stuposa,番石榴,Guava,危害,Damage
126,石榴裂果,（生理病害，暂无具体学名）,石榴,Pomegranate,危害,Damage
127,桃蛀螟,Conogethes punctiferalis,桃树,peach,危害,Damage
128,桃蛀螟,Conogethes punctiferalis,苹果,apple,危害,Damage
129,桃蛀螟,Conogethes punctiferalis,石榴,Pomegranate,危害,Damage
130,桃蛀螟,Conogethes punctiferalis,板栗,Chestnut,危害,Damage
131,桃蛀螟,Conogethes punctiferalis,山楂,hawthorn,危害,Damage
132,桃蛀螟,Conogethes punctiferalis,枇杷,Loquat,危害,Damage
133,桃蛀螟,Conogethes punctiferalis,龙眼,Longan,危害,Damage
134,桃蛀螟,Conogethes punctiferalis,荔枝,litchi,危害,Damage
135,樗蚕蛾,Philosamia cynthia,石榴,Pomegranate,危害,Damage
136,樗蚕蛾,Philosamia cynthia,柑橘,Tangerine,危害,Damage
137,樗蚕蛾,Philosamia cynthia,花椒,Sichuan peppercorn,危害,Damage
138,樗蚕蛾,Philosamia cynthia,蓖麻,Castor,危害,Damage
139,石榴绒蚧,Eriococcus punicae,石榴,Pomegranate,危害,Damage
140,麻皮蝽,Erthesina fullo,苹果,apple,危害,Damage
141,柑橘裂皮病,Citrus exocortis viroid,柑橘,Tangerine,危害,Damage
142,柑橘裂皮病,Citrus exocortis viroid,枳橙,Citrus aurantium,危害,Damage
143,柑橘裂皮病,Citrus exocortis viroid,蔾檬,Lemon,危害,Damage
144,柑橘煤污病,Capnodium sp.,柑橘,Tangerine,危害,Damage
145,柑橘黄龙病,Candidatus Liberibacter asiaticus,柑橘,Tangerine,危害,Damage
146,柑橘溃疡病,Xanthomonas citri subsp. citri,柑橘,Tangerine,危害,Damage
147,柑橘赤衣病,Erythricium salmonicolor,柑橘,Tangerine,危害,Damage
148,柑橘黑腐病,Alternaria citri,柑橘,Tangerine,危害,Damage
149,嘴壶夜蛾,Oraesia emarginata,通草,Tongcao,危害,Damage
150,嘴壶夜蛾,Oraesia emarginata,薯蓣,Dioscorea,危害,Damage
151,鸟嘴壶夜蛾,Oraesia excavata,柑橘,Tangerine,危害,Damage
152,鸟嘴壶夜蛾,Oraesia excavata,葡萄,Grape,危害,Damage
153,鸟嘴壶夜蛾,Oraesia excavata,苹果,apple,危害,Damage
154,柑橘花蕾蛆,Contarinia citri,柑橘类,Citrus,危害,Damage
155,柑橘小实蝇,Bactrocera dorsalis,害柑,Citrus,危害,Damage
156,柑橘小实蝇,Bactrocera dorsalis,芒,Mang,危害,Damage
157,柑橘小实蝇,Bactrocera dorsalis,枇,loquat,危害,Damage
158,柑橘小实蝇,Bactrocera dorsalis,无花果,Fig,危害,Damage
159,橘二叉蚜,Toxoptera aurantii,柑橘类,Citrus,危害,Damage
160,橘二叉蚜,Toxoptera aurantii,荔枝,litchi,危害,Damage
161,橘二叉蚜,Toxoptera aurantii,香蕉,banana,危害,Damage
162,橘二叉蚜,Toxoptera aurantii,菠萝,Pineapple,危害,Damage
163,橘二叉蚜,Toxoptera aurantii,可可,cocoa,危害,Damage
164,橘二叉蚜,Toxoptera aurantii,咖啡,coffee,危害,Damage
165,橘二叉蚜,Toxoptera aurantii,胡椒,black pepper,危害,Damage
166,橘蚜,Aphis citricidus,柑橘类,Citrus,危害,Damage
167,大绿蝽,Rhynchocoris humeralis,柑橘,Tangerine,危害,Damage
168,大绿蝽,Rhynchocoris humeralis,苹,apple,危害,Damage
169,大绿蝽,Rhynchocoris humeralis,梨,pear,危害,Damage
170,黑刺粉虱,Aleurocanthus spiniferus,柑橘,Tangerine,危害,Damage
171,黑刺粉虱,Aleurocanthus spiniferus,枇杷,Loquat,危害,Damage
172,黑刺粉虱,Aleurocanthus spiniferus,苹果,apple,危害,Damage
173,黑刺粉虱,Aleurocanthus spiniferus,葡萄,Grape,危害,Damage
174,黑刺粉虱,Aleurocanthus spiniferus,龙眼,Longan,危害,Damage
175,黑刺粉虱,Aleurocanthus spiniferus,香蕉,banana,危害,Damage
176,黑刺粉虱,Aleurocanthus spiniferus,橄榄,Olives,危害,Damage
177,柑橘木虱,Diaphorina citri,柑橘类,Citrus,危害,Damage
178,柑橘木虱,Diaphorina citri,柠檬,lemon,危害,Damage
179,柑橘木虱,Diaphorina citri,九里香,Murraya paniculata,危害,Damage
180,吹绵蚧,Icerya purchasi,柑橘,Tangerine,危害,Damage
181,吹绵蚧,Icerya purchasi,海桐,Pittosporum,危害,Damage
182,吹绵蚧,Icerya purchasi,木麻黄,Casuarina equisetifolia,危害,Damage
183,吹绵蚧,Icerya purchasi,台湾相思,Taiwan Acacia,危害,Damage
184,堆蜡粉蚧,Nipaecoccus viridis,柑橘,Tangerine,危害,Damage
185,堆蜡粉蚧,Nipaecoccus viridis,菠萝,Pineapple,危害,Damage
186,堆蜡粉蚧,Nipaecoccus viridis,芒果,mango,危害,Damage
187,堆蜡粉蚧,Nipaecoccus viridis,龙眼,Longan,危害,Damage
188,堆蜡粉蚧,Nipaecoccus viridis,葡萄,Grape,危害,Damage
189,矢尖蚧,Unaspis yanonensis,柑橘类,Citrus,危害,Damage
190,矢尖蚧,Unaspis yanonensis,龙眼,Longan,危害,Damage
191,矢尖蚧,Unaspis yanonensis,番石榴,Guava,危害,Damage
192,红蜡蚧,Ceroplastes rubens,柑橘,Tangerine,危害,Damage
193,红蜡蚧,Ceroplastes rubens,苹果,apple,危害,Damage
194,红蜡蚧,Ceroplastes rubens,樱桃,cherry,危害,Damage
195,红蜡蚧,Ceroplastes rubens,荔枝,litchi,危害,Damage
196,红蜡蚧,Ceroplastes rubens,杨梅,Bayberry,危害,Damage
197,红蜡蚧,Ceroplastes rubens,无花果,Fig,危害,Damage
198,红蜡蚧,Ceroplastes rubens,忙果,Busy Fruit,危害,Damage
199,红蜡蚧,Ceroplastes rubens,石榴,Pomegranate,危害,Damage
200,褐圆蚧,Chrysomphalus aonidum,柑橘,Tangerine,危害,Damage
201,褐圆蚧,Chrysomphalus aonidum,柠檬,lemon,危害,Damage
202,褐圆蚧,Chrysomphalus aonidum,椰子,coconut,危害,Damage
203,褐圆蚧,Chrysomphalus aonidum,香蕉,banana,危害,Damage
204,褐圆蚧,Chrysomphalus aonidum,无花果,Fig,危害,Damage
205,糠片蚧,Parlatoria pergandii,柑橘,Tangerine,危害,Damage
206,糠片蚧,Parlatoria pergandii,柠檬,lemon,危害,Damage
207,糠片蚧,Parlatoria pergandii,无花果,Fig,危害,Damage
208,糠片蚧,Parlatoria pergandii,苹果,apple,危害,Damage
209,糠片蚧,Parlatoria pergandii,樱桃,cherry,危害,Damage
210,糠片蚧,Parlatoria pergandii,葡萄,Grape,危害,Damage
211,柑橘全爪螨,Panonychus citri,柑橘类,Citrus,危害,Damage
212,柑橘全爪螨,Panonychus citri,沙梨,Pear,危害,Damage
213,柑橘全爪螨,Panonychus citri,蒲桃,Syzygium wilfordii,危害,Damage
214,柑橘始叶螨,Eotetranychus kankitus,柑橘类,Citrus,危害,Damage
215,柑橘始叶螨,Eotetranychus kankitus,葡萄,Grape,危害,Damage
216,柑橘始叶螨,Eotetranychus kankitus,戴豆,Dai Dou,危害,Damage
217,柑橘始叶螨,Eotetranychus kankitus,小旋花,Bindweed,危害,Damage
218,柑橘始叶螨,Eotetranychus kankitus,蟋蟀草,Cricket Grass,危害,Damage
219,柑橘凤蝶,Papilio xuthus,芸香,rue,危害,Damage
220,柑橘凤蝶,Papilio xuthus,花椒,Sichuan peppercorn,危害,Damage
221,柑橘凤蝶,Papilio xuthus,小茴香,Cumin,危害,Damage
222,柑橘凤蝶,Papilio xuthus,胡萝卜,carrot,危害,Damage
223,拟小黄卷叶蛾,Adoxophyes cyrtosema,荔枝,litchi,危害,Damage
224,拟小黄卷叶蛾,Adoxophyes cyrtosema,龙眼,Longan,危害,Damage
225,拟小黄卷叶蛾,Adoxophyes cyrtosema,柑橘,Tangerine,危害,Damage
226,拟小黄卷叶蛾,Adoxophyes cyrtosema,茶树,tea tree,危害,Damage
227,拟小黄卷叶蛾,Adoxophyes cyrtosema,茉莉,Jasmine,危害,Damage
228,茶蓑蛾,Clania minuscula,苹果,apple,危害,Damage
229,茶蓑蛾,Clania minuscula,樱桃,cherry,危害,Damage
230,茶蓑蛾,Clania minuscula,柑橘,Tangerine,危害,Damage
231,茶蓑蛾,Clania minuscula,石榴,Pomegranate,危害,Damage
232,茶蓑蛾,Clania minuscula,葡萄,Grape,危害,Damage
233,茶蓑蛾,Clania minuscula,枇杷,Loquat,危害,Damage
234,茶蓑蛾,Clania minuscula,花椒,Sichuan peppercorn,危害,Damage
235,茶蓑蛾,Clania minuscula,山茶,Camellia,危害,Damage
236,油桐尺蛾,Buzura suppressaria,柑橘,Tangerine,危害,Damage
237,油桐尺蛾,Buzura suppressaria,油桐,Tung oil tree,危害,Damage
238,油桐尺蛾,Buzura suppressaria,扁柏,Chamaecyparis obtusifolia,危害,Damage
239,油桐尺蛾,Buzura suppressaria,刺槐,locust,危害,Damage
240,油桐尺蛾,Buzura suppressaria,漆树,Rhus,危害,Damage
241,油桐尺蛾,Buzura suppressaria,麻栎,Quercus acutissima,危害,Damage
242,油桐尺蛾,Buzura suppressaria,板栗,Chestnut,危害,Damage
243,油桐尺蛾,Buzura suppressaria,花椒,Sichuan peppercorn,危害,Damage
244,达摩凤蝶,Papilio demoleus,柑橘类,Citrus,危害,Damage
245,玉带凤蝶,Papilio polytes,柑橘类果树,Citrus trees,危害,Damage
246,玉带凤蝶,Papilio polytes,柑橘,Tangerine,危害,Damage
247,玉带凤蝶,Papilio polytes,花椒,Sichuan peppercorn,危害,Damage
248,玉带凤蝶,Papilio polytes,山椒,Sansho,危害,Damage
249,柑橘恶性叶甲,Clitea metallica,柑橘类,Citrus,危害,Damage
250,绿鳞象甲,Hypomeces squamosus,林木,forest,危害,Damage
251,柑橘灰象甲,Sympiezomias citri,柑橘类,Citrus,危害,Damage
252,柑橘灰象甲,Sympiezomias citri,龙眼,Longan,危害,Damage
253,柑橘灰象甲,Sympiezomias citri,荔枝,litchi,危害,Damage
254,柑橘灰象甲,Sympiezomias citri,茉莉,Jasmine,危害,Damage
255,柑橘灰象甲,Sympiezomias citri,野芝麻,Wild sesame,危害,Damage
256,柑橘灰象甲,Sympiezomias citri,柑橘,Tangerine,危害,Damage
257,柑橘潜叶蛾,Phyllocnistis citrella,柑橘类,Citrus,危害,Damage
258,柑橘爆皮虫,Agrilus auriventris,柑橘类,Citrus,危害,Damage
259,柑橘溜皮虫,Agrilus sp.（假设为窄吉丁属）,柑橘,Tangerine,危害,Damage
260,橘褐天牛,Nadezhdiella cantori,柑橘类,Citrus,危害,Damage
261,橘褐天牛,Nadezhdiella cantori,柠檬,lemon,危害,Damage
262,橘褐天牛,Nadezhdiella cantori,葡萄,Grape,危害,Damage
263,光盾绿天牛,Chelidonium argentatum,柑橘类,Citrus,危害,Damage
264,光盾绿天牛,Chelidonium argentatum,柠檬,lemon,危害,Damage
265,黑翅土白蚁,Odontotermes formosanus,柑橘,Tangerine,危害,Damage
266,黑翅土白蚁,Odontotermes formosanus,苹果,apple,危害,Damage
267,黑翅土白蚁,Odontotermes formosanus,杉木,Chinese fir,危害,Damage
268,黑翅土白蚁,Odontotermes formosanus,池杉,Pool cypress,危害,Damage
269,黑翅土白蚁,Odontotermes formosanus,黑荆,Blackthorn,危害,Damage
270,黑翅土白蚁,Odontotermes formosanus,泡桐,Paulownia,危害,Damage
271,黑翅土白蚁,Odontotermes formosanus,木荷,Schima superba,危害,Damage
272,荔枝霜疫霉病,Peronophthora litchii,荔枝,litchi,危害,Damage
273,荔枝炭疽病,Colletotrichum gloeosporioides,荔枝,litchi,危害,Damage
274,荔枝酸腐病,Geotrichum candidum,荔枝,litchi,危害,Damage
275,荔枝叶斑病,Alternaria ,荔枝,litchi,危害,Damage
276,荔枝叶斑病,Alternaria ,龙眼,Longan,危害,Damage
277,黑蚱蝉,Cryptotympana atrata,苹果,apple,危害,Damage
278,黑蚱蝉,Cryptotympana atrata,山楂,hawthorn,危害,Damage
279,黑蚱蝉,Cryptotympana atrata,樱桃,cherry,危害,Damage
280,黑蚱蝉,Cryptotympana atrata,柑橘,Tangerine,危害,Damage
281,黑蚱蝉,Cryptotympana atrata,枇杷,Loquat,危害,Damage
282,黑蚱蝉,Cryptotympana atrata,荔枝,litchi,危害,Damage
283,黑蚱蝉,Cryptotympana atrata,葡萄,Grape,危害,Damage
284,桥夜蛾,Anomis mesogona,柑橘,Tangerine,危害,Damage
285,荔枝斑点病,Litchi Coniothyrium leaf spot,荔枝,litchi,危害,Damage
286,荔枝斑点病,Litchi Coniothyrium leaf spot,龙眼,Longan,危害,Damage
287,荔枝壳二孢叶斑病,Ascochyta sp.,荔枝,litchi,危害,Damage
288,荔枝煤烟病,Meliola ,龙眼,Longan,危害,Damage
289,荔枝煤烟病,Meliola ,番石榴,Guava,危害,Damage
290,荔枝煤烟病,Meliola ,黄皮,Yellow skin,危害,Damage
291,荔枝煤烟病,Meliola ,柑桔,Citrus,危害,Damage
292,荔枝叶枯病,Litchi leaf blight,荔枝,litchi,危害,Damage
293,荔枝地衣病,Litchi Lichen Disease,龙眼,Longan,危害,Damage
294,荔枝地衣病,Litchi Lichen Disease,柑橘,Tangerine,危害,Damage
295,荔枝蝽,Tessaratoma papillosa,荔枝,litchi,危害,Damage
296,荔枝蝽,Tessaratoma papillosa,龙眼,Longan,危害,Damage
297,荔枝蝽,Tessaratoma papillosa,柑橘,Tangerine,危害,Damage
298,荔枝蝽,Tessaratoma papillosa,黄皮,Yellow skin,危害,Damage
299,荔枝蝽,Tessaratoma papillosa,番石榴,Guava,危害,Damage
300,荔枝蝽,Tessaratoma papillosa,桉树,eucalyptus,危害,Damage
301,荔枝蝽,Tessaratoma papillosa,枇杷,Loquat,危害,Damage
302,红带滑胸针蓟马,Selenothrips rubrocinctus,油桐,Tung oil tree,危害,Damage
303,红带滑胸针蓟马,Selenothrips rubrocinctus,乌桕,Sapium sebiferum,危害,Damage
304,红带滑胸针蓟马,Selenothrips rubrocinctus,板栗,Chestnut,危害,Damage
305,红带滑胸针蓟马,Selenothrips rubrocinctus,荔枝,litchi,危害,Damage
306,红带滑胸针蓟马,Selenothrips rubrocinctus,橄榄,Olives,危害,Damage
307,白蛾蜡蝉,Lawana imitata,荔枝,litchi,危害,Damage
308,白蛾蜡蝉,Lawana imitata,龙眼,Longan,危害,Damage
309,白蛾蜡蝉,Lawana imitata,柑橘,Tangerine,危害,Damage
310,白蛾蜡蝉,Lawana imitata,芒果,mango,危害,Damage
311,白蛾蜡蝉,Lawana imitata,木菠萝,Pineapple,危害,Damage
312,白蛾蜡蝉,Lawana imitata,咖啡,coffee,危害,Damage
313,白蛾蜡蝉,Lawana imitata,石榴,Pomegranate,危害,Damage
314,白蛾蜡蝉,Lawana imitata,无花果,Fig,危害,Damage
315,白蛾蜡蝉,Lawana imitata,木瓜,pawpaw,危害,Damage
316,白蛾蜡蝉,Lawana imitata,胡椒,black pepper,危害,Damage
317,双线盗毒蛾,Lawana imitata,柑橘,Tangerine,危害,Damage
318,双线盗毒蛾,Porthesia scintillans,龙眼,Longan,危害,Damage
319,双线盗毒蛾,Porthesia scintillans,苹果,apple,危害,Damage
320,双线盗毒蛾,Porthesia scintillans,桃树,peach,危害,Damage
321,小白纹毒蛾,Porthesia scintillans,柑橘,Tangerine,危害,Damage
322,小白纹毒蛾,Notoedidae simplex,葡萄,Grape,危害,Damage
323,小白纹毒蛾,Notoedidae simplex,苹果,apple,危害,Damage
324,小白纹毒蛾,Notoedidae simplex,蔬菜,vegetable,危害,Damage
325,爻纹细蛾,Notoedidae simplex,荔枝,litchi,危害,Damage
326,爻纹细蛾,Acrocercops cramerella,龙眼,Longan,危害,Damage
327,爻纹细蛾,Acrocercops cramerella,芒果,mango,危害,Damage
328,蓖麻夜蛾,Acrocercops cramerella,蓖麻,Castor,危害,Damage
329,蓖麻夜蛾,Achaea janata,木薯,Cassava,危害,Damage
330,蓖麻夜蛾,Achaea janata,飞扬草,Flying Grass,危害,Damage
331,蓖麻夜蛾,Achaea janata,台湾相思,Taiwan Acacia,危害,Damage
332,毛翅夜蛾,Achaea janata,苹果,apple,危害,Damage
333,毛翅夜蛾,Dermaleipa juno,葡萄,Grape,危害,Damage
334,毛翅夜蛾,Dermaleipa juno,柑橘,Tangerine,危害,Damage
335,茶卷叶蛾,Dermaleipa juno,茶树,tea tree,危害,Damage
336,茶卷叶蛾,Homona coffearia,油茶,Camellia oleifera,危害,Damage
337,茶卷叶蛾,Homona coffearia,荔枝,litchi,危害,Damage
338,茶卷叶蛾,Homona coffearia,龙眼,Longan,危害,Damage
339,茶卷叶蛾,Homona coffearia,柑橘,Tangerine,危害,Damage
340,茶卷叶蛾,Homona coffearia,苹果,apple,危害,Damage
341,茶卷叶蛾,Homona coffearia,杨桃,Carambola,危害,Damage
342,茶卷叶蛾,Homona coffearia,板栗,Chestnut,危害,Damage
343,茶卷叶蛾,Homona coffearia,枇杷,Loquat,危害,Damage
344,茶卷叶蛾,Homona coffearia,咖啡,coffee,危害,Damage
345,油桐尺蠖,Buzura suppressaria,油茶,Camellia oleifera,危害,Damage
346,油桐尺蠖,Buzura suppressaria,木荷,Schima superba,危害,Damage
347,油桐尺蠖,Buzura suppressaria,乌桕,Sapium sebiferum,危害,Damage
348,油桐尺蠖,Buzura suppressaria,油桐,Tung oil tree,危害,Damage
349,咖啡木蠹蛾,Zeuzera coffeae,咖啡,coffee,危害,Damage
350,咖啡木蠹蛾,Zeuzera coffeae,荔枝,litchi,危害,Damage
351,咖啡木蠹蛾,Zeuzera coffeae,龙眼,Longan,危害,Damage
352,咖啡木蠹蛾,Zeuzera coffeae,柑橘,Tangerine,危害,Damage
353,咖啡木蠹蛾,Zeuzera coffeae,枇杷,Loquat,危害,Damage
354,咖啡木蠹蛾,Zeuzera coffeae,葡萄,Grape,危害,Damage
355,白囊蓑蛾,Chalioides kondonis,油茶,Camellia oleifera,危害,Damage
356,银毛吹棉蚧,Icerya seychellarum,柑橘,Tangerine,危害,Damage
357,银毛吹棉蚧,Icerya seychellarum,枇杷,Loquat,危害,Damage
358,银毛吹棉蚧,Icerya seychellarum,杧果,Mango,危害,Damage
