number,Chinese entity name,entity binomial scientific name,Chinese part,English part,Chinese relation,English relation
42,柑橘树脂病,Diaporthe citri,果实,fruit,危害部位,InflictHarmPart
43,荔枝霜疫霉病,Peronophythora litchii,枝干,Branches,危害部位,InflictHarmPart
44,荔枝霜疫霉病,Peronophythora litchii,叶片,blade,危害部位,InflictHarmPart
45,荔枝霜疫霉病,Peronophythora litchii,果实,fruit,危害部位,InflictHarmPart
46,荔枝炭疽病,Colletotrichum gloeosporioides,枝干,Branches,危害部位,InflictHarmPart
47,荔枝炭疽病,Colletotrichum gloeosporioides,叶片,blade,危害部位,InflictHarmPart
48,荔枝炭疽病,Colletotrichum gloeosporioides,果实,fruit,危害部位,InflictHarmPart
49,荔枝藻斑病,Cephaleuros virescens,叶片,blade,危害部位,InflictHarmPart
50,荔枝藻斑病,Cephaleuros virescens,树皮,Bark,危害部位,InflictHarmPart
51,枇杷灰斑病,Pestalotia funerea,叶片,blade,危害部位,InflictHarmPart
52,枇杷灰斑病,Pestalotia funerea,果实,fruit,危害部位,InflictHarmPart
53,枇杷斑点病,Loquat spotted disease,叶片,blade,危害部位,InflictHarmPart
54,香蕉黑星病,Macrophoma musae,叶片,blade,危害部位,InflictHarmPart
55,香蕉黑星病,Macrophoma musae,果实,fruit,危害部位,InflictHarmPart
56,香蕉束顶病,Banana bunchy top virus,根系,Root system,危害部位,InflictHarmPart
57,香蕉束顶病,Banana bunchy top virus,叶片,blade,危害部位,InflictHarmPart
58,香蕉束顶病,Banana bunchy top virus,花器,Flower vases,危害部位,InflictHarmPart
59,香蕉束顶病,Banana bunchy top virus,果实,fruit,危害部位,InflictHarmPart
60,香蕉束顶病,Banana bunchy top virus,植株,Plant,危害部位,InflictHarmPart
61,樱桃褐腐病,Monilinia fructicola,叶部,Leaf,危害部位,InflictHarmPart
62,樱桃褐腐病,Monilinia fructicola,花朵,Flowers,危害部位,InflictHarmPart
63,樱桃褐腐病,Monilinia fructicola,果实,fruit,危害部位,InflictHarmPart
64,樱桃炭疽病,Colletotrichum acutatum,叶部,Leaf,危害部位,InflictHarmPart
65,樱桃炭疽病,Colletotrichum acutatum,果实,fruit,危害部位,InflictHarmPart
66,梅灰霉病,Botrytis cinerea,花器,Flower vases,危害部位,InflictHarmPart
67,梅灰霉病,Botrytis cinerea,果实,fruit,危害部位,InflictHarmPart
68,梅溃疡病,Ume plum canker,枝干,Branches,危害部位,InflictHarmPart
69,梅溃疡病,Ume plum canker,叶片,blade,危害部位,InflictHarmPart
70,梅溃疡病,Ume plum canker,果实,fruit,危害部位,InflictHarmPart
71,梅黑星病,Venturia nashicola,枝干,Branches,危害部位,InflictHarmPart
72,梅黑星病,Venturia nashicola,叶片,blade,危害部位,InflictHarmPart
73,梅黑星病,Venturia nashicola,果实,fruit,危害部位,InflictHarmPart
74,葡萄白腐病,Coniothyrium diplodiella,枝干,Branches,危害部位,InflictHarmPart
75,葡萄白腐病,Coniothyrium diplodiella,叶片,blade,危害部位,InflictHarmPart
76,葡萄白腐病,Coniothyrium diplodiella,果实,fruit,危害部位,InflictHarmPart
77,葡萄大房枯病,Macrophoma fauriei,枝干,Branches,危害部位,InflictHarmPart
78,葡萄黑痘病,Elsino? ampelina,枝蔓,Tendrils,危害部位,InflictHarmPart
79,葡萄黑痘病,Elsino? ampelina,叶片,blade,危害部位,InflictHarmPart
80,葡萄黑痘病,Elsino? ampelina,果实,fruit,危害部位,InflictHarmPart
81,葡萄白粉病,Uncinula necator,枝蔓,Tendrils,危害部位,InflictHarmPart
82,葡萄白粉病,Uncinula necator,叶片,blade,危害部位,InflictHarmPart
83,葡萄白粉病,Uncinula necator,果实,fruit,危害部位,InflictHarmPart
84,葡萄皮尔斯病,Xylella fastidiosa,根部,Root,危害部位,InflictHarmPart
85,葡萄根癌病,Agrobacterium tumefaciens,根部,Root,危害部位,InflictHarmPart
86,葡萄扇叶病,Grapevine fanleaf virus,黄化,Yellowing,危害部位,InflictHarmPart
87,葡萄栓皮病,Grape corky bark virus,枝干,Branches,危害部位,InflictHarmPart
88,葡萄茎痘病,Grapevine stem pitting - associated virus,枝干,Branches,危害部位,InflictHarmPart
89,葡萄黄金病,Grape yellow leaf,枝干,Branches,危害部位,InflictHarmPart
90,葡萄花叶病,spotted wilt virus,叶片,blade,危害部位,InflictHarmPart
91,葡萄花叶病,spotted wilt virus,果实,fruit,危害部位,InflictHarmPart
92,葡萄花叶病,spotted wilt virus,植株,Plant,危害部位,InflictHarmPart
93,葡萄根结线虫病,Grape root-knot nematode,根部,Root,危害部位,InflictHarmPart
94,葡萄缺铁病, Grape iron deficiency disease,根部,Root,危害部位,InflictHarmPart
95,葡萄缺镁病,Grape magnesium deficiency disease,叶部,Leaf,危害部位,InflictHarmPart
96,葡萄缺钾病,Grape potassium deficiency disease,叶部,Leaf,危害部位,InflictHarmPart
97,葡萄缺锌病, Grape zinc deficiency disease,叶部,Leaf,危害部位,InflictHarmPart
98,猕猴桃褐腐病,Botryosphaeria dothidea,枝干,Branches,危害部位,InflictHarmPart
99,猕猴桃灰霉病,Botrytis cinerea,叶部,Leaf,危害部位,InflictHarmPart
100,猕猴桃溃疡病,Pseudomonas syringae pv. actinidiae,枝干,Branches,危害部位,InflictHarmPart
101,栗白粉病,Phyllactinia corylea,枝干,Branches,危害部位,InflictHarmPart
102,栗炭疽病,Colletotrichum gloeosporioides,枝干,Branches,危害部位,InflictHarmPart
103,栗炭疽病,Colletotrichum gloeosporioides,叶片,blade,危害部位,InflictHarmPart
104,栗炭疽病,Colletotrichum gloeosporioides,果实,fruit,危害部位,InflictHarmPart
105,核桃树腐烂病,Cytospora juglandis,幼树,Saplings,危害部位,InflictHarmPart
106,核桃树腐烂病,Cytospora juglandis,枝条,branch,危害部位,InflictHarmPart
107,核桃炭疽病,Colletotrichum gloeosporioides,叶部,Leaf,危害部位,InflictHarmPart
108,核桃褐斑病,Marssonina juglandis,枝干,Branches,危害部位,InflictHarmPart
109,枣焦叶病,Jujube leaf scorch disease,叶片,blade,危害部位,InflictHarmPart
110,枣焦叶病,Jujube leaf scorch disease,果实,fruit,危害部位,InflictHarmPart
111,枣焦叶病,Jujube leaf scorch disease,植株,Plant,危害部位,InflictHarmPart
112,枣炭疽病,Colletotrichum gloeosporioides,果实,fruit,危害部位,InflictHarmPart
113,枣炭疽病,Colletotrichum gloeosporioides,叶片,blade,危害部位,InflictHarmPart
114,枣轮纹病,Botryosphaeria berengeriana f. sp. piricola,枝干,Branches,危害部位,InflictHarmPart
115,枣轮纹病,Botryosphaeria berengeriana f. sp. piricola,果实,fruit,危害部位,InflictHarmPart
116,枣树根朽病,Armillaria mellea,根系,Root system,危害部位,InflictHarmPart
117,枣树根朽病,Armillaria mellea,叶片,blade,危害部位,InflictHarmPart
118,枣树根癌病,Agrobacterium tumefaciens,根部,Root,危害部位,InflictHarmPart
119,枣树根癌病,Agrobacterium tumefaciens,植株,Plant,危害部位,InflictHarmPart
120,枣疯病,Jujube witches' - broom disease,根部,Root,危害部位,InflictHarmPart
121,枣疯病,Jujube witches' - broom disease,枝条,branch,危害部位,InflictHarmPart
122,枣疯病,Jujube witches' - broom disease,叶片,blade,危害部位,InflictHarmPart
123,枣疯病,Jujube witches' - broom disease,花器,Flower vases,危害部位,InflictHarmPart
124,枣疯病,Jujube witches' - broom disease,全株,Whole plant,危害部位,InflictHarmPart
125,山楂花腐病,Monilinia johnsonii,枝干,Branches,危害部位,InflictHarmPart
126,山楂花腐病,Monilinia johnsonii,叶片,blade,危害部位,InflictHarmPart
127,山楂花腐病,Monilinia johnsonii,果实,fruit,危害部位,InflictHarmPart
128,桃褐斑穿孔病,Mycosphaerella cerasella,叶片,blade,危害部位,InflictHarmPart
129,桃褐斑穿孔病,Mycosphaerella cerasella,枝梢 , Branches,危害部位,InflictHarmPart
130,桃褐斑穿孔病,Mycosphaerella cerasella,果实,fruit,危害部位,InflictHarmPart
131,桃缩叶病,Taphrina deformans,枝干,Branches,危害部位,InflictHarmPart
132,桃缩叶病,Taphrina deformans,叶片,blade,危害部位,InflictHarmPart
133,桃缩叶病,Taphrina deformans,花器,Flower vases,危害部位,InflictHarmPart
134,桃缩叶病,Taphrina deformans,果实,fruit,危害部位,InflictHarmPart
135,桃霉斑穿孔病,Clasterosporium carpophilum,枝干,Branches,危害部位,InflictHarmPart
136,桃霉斑穿孔病,Clasterosporium carpophilum,叶片,blade,危害部位,InflictHarmPart
137,桃霉斑穿孔病,Clasterosporium carpophilum,花器,Flower vases,危害部位,InflictHarmPart
138,桃霉斑穿孔病,Clasterosporium carpophilum,果实,fruit,危害部位,InflictHarmPart
139,桃黑星病,Venturia carpophila,枝干,Branches,危害部位,InflictHarmPart
140,桃黑星病,Venturia carpophila,叶片,blade,危害部位,InflictHarmPart
141,桃黑星病,Venturia carpophila,果实,fruit,危害部位,InflictHarmPart
142,桃疫腐病,Phytophthora cactorum,枝干,Branches,危害部位,InflictHarmPart
143,桃炭疽病,Colletotrichum gloeosporioides,枝干,Branches,危害部位,InflictHarmPart
144,桃炭疽病,Colletotrichum gloeosporioides,叶片,blade,危害部位,InflictHarmPart
145,桃炭疽病,Colletotrichum gloeosporioides,果实,fruit,危害部位,InflictHarmPart
146,桃细菌性穿孔病,Xanthomonas arboricola pv. pruni,枝干,Branches,危害部位,InflictHarmPart
147,桃细菌性穿孔病,Xanthomonas arboricola pv. pruni,叶片,blade,危害部位,InflictHarmPart
148,桃细菌性穿孔病,Xanthomonas arboricola pv. pruni,果实,fruit,危害部位,InflictHarmPart
149,桃白粉病,Podosphaera tridactyla,枝干,Branches,危害部位,InflictHarmPart
150,桃白粉病,Podosphaera tridactyla,叶片,blade,危害部位,InflictHarmPart
151,桃白粉病,Podosphaera tridactyla,果实,fruit,危害部位,InflictHarmPart
152,桃树非侵染性流胶病,Peach non - infectious gummosis,枝干,Branches,危害部位,InflictHarmPart
153,桃树非侵染性流胶病,Peach non - infectious gummosis,叶片,blade,危害部位,InflictHarmPart
154,桃树非侵染性流胶病,Peach non - infectious gummosis,果实,fruit,危害部位,InflictHarmPart
155,桃树侵染性流胶病,Botryosphaeria dothidea,枝干,Branches,危害部位,InflictHarmPart
156,桃树侵染性流胶病,Botryosphaeria dothidea,果实,fruit,危害部位,InflictHarmPart
157,桃树侵染性流胶病,Botryosphaeria dothidea,植株,Plant,危害部位,InflictHarmPart
158,桃煤污病,Capnodium sp.,枝干,Branches,危害部位,InflictHarmPart
159,桃煤污病,Capnodium sp.,叶片,blade,危害部位,InflictHarmPart
160,桃煤污病,Capnodium sp.,果实,fruit,危害部位,InflictHarmPart
161,桃树木腐病,Schizophyllum commune,枝干,Branches,危害部位,InflictHarmPart
162,桃树木腐病,Schizophyllum commune,叶片,blade,危害部位,InflictHarmPart
163,桃树木腐病,Schizophyllum commune,植株,Plant,危害部位,InflictHarmPart
164,桃树根朽病,Armillaria mellea,根系,Root system,危害部位,InflictHarmPart
165,桃树根朽病,Armillaria mellea,枝干,Branches,危害部位,InflictHarmPart
166,桃树根朽病,Armillaria mellea,叶片,blade,危害部位,InflictHarmPart
167,桃树根朽病,Armillaria mellea,果实,fruit,危害部位,InflictHarmPart
168,桃树根朽病,Armillaria mellea,植株,Plant,危害部位,InflictHarmPart
169,桃褐腐病,Monilinia fructicola,枝干,Branches,危害部位,InflictHarmPart
170,桃褐腐病,Monilinia fructicola,叶片,blade,危害部位,InflictHarmPart
171,桃褐腐病,Monilinia fructicola,花器,Flower vases,危害部位,InflictHarmPart
172,桃褐腐病,Monilinia fructicola,果实,fruit,危害部位,InflictHarmPart
173,桃褐锈病,Tranzschelia discolor,枝干,Branches,危害部位,InflictHarmPart
174,桃褐锈病,Tranzschelia discolor,叶片,blade,危害部位,InflictHarmPart
175,桃褐锈病,Tranzschelia discolor,果实,fruit,危害部位,InflictHarmPart
176,桃灰霉病,Botrytis cinerea,枝干,Branches,危害部位,InflictHarmPart
177,桃白纹羽病,Rosellinia necatrix,根系,Root system,危害部位,InflictHarmPart
178,桃白纹羽病,Rosellinia necatrix,植株,Plant,危害部位,InflictHarmPart
179,桃树白绢病,Sclerotium rolfsii,根部,Root,危害部位,InflictHarmPart
180,桃树白绢病,Sclerotium rolfsii,茎部,Stem,危害部位,InflictHarmPart
181,桃树白绢病,Sclerotium rolfsii,叶片,blade,危害部位,InflictHarmPart
182,桃树白绢病,Sclerotium rolfsii,果实,fruit,危害部位,InflictHarmPart
183,桃树白绢病,Sclerotium rolfsii,全株,Whole plant,危害部位,InflictHarmPart
184,桃根癌病,Agrobacterium tumefaciens,根部,Root,危害部位,InflictHarmPart
185,桃根癌病,Agrobacterium tumefaciens,茎部,Stem,危害部位,InflictHarmPart
186,桃根癌病,Agrobacterium tumefaciens,植株,Plant,危害部位,InflictHarmPart
187,桃潜隐花叶病,Peach latent mosaic virus,枝干,Branches,危害部位,InflictHarmPart
188,桃树红叶病,Peach red leaf disease,叶片,blade,危害部位,InflictHarmPart
189,桃树红叶病,Peach red leaf disease,枝干,Branches,危害部位,InflictHarmPart
190,桃树红叶病,Peach red leaf disease,果实,fruit,危害部位,InflictHarmPart
191,桃坏死环斑病,Prunus necrotic ringspot virus,叶部,Leaf,危害部位,InflictHarmPart
192,桃坏死环斑病,Prunus necrotic ringspot virus,果实,fruit,危害部位,InflictHarmPart
193,桃园根结线虫病,Meloidogyne sp.,根部,Root,危害部位,InflictHarmPart
194,桃瘿螨畸果病,Aceria fockeui,枝干,Branches,危害部位,InflictHarmPart
195,桃树缺氮症,Peach nitrogen deficiency,枝干,Branches,危害部位,InflictHarmPart
196,桃树缺磷症,Peach phosphorus deficiency,枝干,Branches,危害部位,InflictHarmPart
197,桃树缺钾症,Peach potassium deficiency,枝干,Branches,危害部位,InflictHarmPart
198,桃树缺钾症,Peach potassium deficiency,叶片,blade,危害部位,InflictHarmPart
199,桃树缺钾症,Peach potassium deficiency,果实,fruit,危害部位,InflictHarmPart
200,桃树缺钾症,Peach potassium deficiency,全株,Whole plant,危害部位,InflictHarmPart
201,桃树缺铁症,Peach iron deficiency,枝干,Branches,危害部位,InflictHarmPart
202,桃树缺铁症,Peach iron deficiency,叶片,blade,危害部位,InflictHarmPart
203,桃树缺铁症,Peach iron deficiency,果实,fruit,危害部位,InflictHarmPart
204,桃树缺铁症,Peach iron deficiency,全株,Whole plant,危害部位,InflictHarmPart
205,桃树缺锌症,Peach zinc deficiency,枝干,Branches,危害部位,InflictHarmPart
206,桃树缺锌症,Peach zinc deficiency,叶片,blade,危害部位,InflictHarmPart
207,桃树缺锌症,Peach zinc deficiency,果实,fruit,危害部位,InflictHarmPart
208,桃树缺锌症,Peach zinc deficiency,全株,Whole plant,危害部位,InflictHarmPart
209,桃树缺钙症,Peach calcium deficiency,根部,Root,危害部位,InflictHarmPart
210,桃树缺钙症,Peach calcium deficiency,叶片,blade,危害部位,InflictHarmPart
211,桃树缺钙症,Peach calcium deficiency,果实,fruit,危害部位,InflictHarmPart
212,桃树缺铜症,Peach calcium deficiency,枝干,Branches,危害部位,InflictHarmPart
213,桃树缺铜症,Peach copper deficiency,叶片,blade,危害部位,InflictHarmPart
214,桃树缺铜症,Peach copper deficiency,果实,fruit,危害部位,InflictHarmPart
215,桃树缺锰症,Peach manganese deficiency,枝干,Branches,危害部位,InflictHarmPart
216,桃树缺锰症,Peach manganese deficiency,叶片,blade,危害部位,InflictHarmPart
217,桃树缺锰症,Peach manganese deficiency,果实,fruit,危害部位,InflictHarmPart
218,桃树缺硼症,Peach boron deficiency,枝干,Branches,危害部位,InflictHarmPart
219,李袋果病,Taphrina pruni,枝干,Branches,危害部位,InflictHarmPart
220,李袋果病,Taphrina pruni,叶片,blade,危害部位,InflictHarmPart
221,李袋果病,Taphrina pruni,果实,fruit,危害部位,InflictHarmPart
222,李红点病,Polystigma rubrum,叶片,blade,危害部位,InflictHarmPart
223,李红点病,Polystigma rubrum,果实,fruit,危害部位,InflictHarmPart
224,李褐腐病,Monilinia fructicola,果实,fruit,危害部位,InflictHarmPart
225,李细菌性穿孔病,Xanthomonas arboricola pv. pruni,枝干,Branches,危害部位,InflictHarmPart
226,李细菌性穿孔病,Xanthomonas arboricola pv. pruni,叶片,blade,危害部位,InflictHarmPart
227,李细菌性穿孔病,Xanthomonas arboricola pv. pruni,果实,fruit,危害部位,InflictHarmPart
228,李线纹病,Plum line pattern disease,叶脉带状,Leaf veins,危害部位,InflictHarmPart
229,李线纹病,Plum line pattern disease,线纹斑,Line pattern,危害部位,InflictHarmPart
230,李线纹病,Plum line pattern disease,花叶斑,Mosaic,危害部位,InflictHarmPart
231,李树流胶病,Botryosphaeria dothidea,枝干,Branches,危害部位,InflictHarmPart
232,李树流胶病,Botryosphaeria dothidea,果实,fruit,危害部位,InflictHarmPart
233,杏疔病,Apricot witches' - broom disease,枝干,Branches,危害部位,InflictHarmPart
234,杏疔病,Apricot witches' - broom disease,叶片,blade,危害部位,InflictHarmPart
235,杏疔病,Apricot witches' - broom disease,果实,fruit,危害部位,InflictHarmPart
236,杏疔病,Apricot witches' - broom disease,全株,Whole plant,危害部位,InflictHarmPart
237,苹果轮纹病,Botryosphaeria berengeriana f. sp. piricola,枝干,Branches,危害部位,InflictHarmPart
238,苹果轮纹病,Botryosphaeria berengeriana f. sp. piricola,叶片,blade,危害部位,InflictHarmPart
239,苹果轮纹病,Botryosphaeria berengeriana f. sp. piricola,果实,fruit,危害部位,InflictHarmPart
240,苹果灰斑病,Phyllosticta pirina,枝干,Branches,危害部位,InflictHarmPart
241,苹果灰斑病,Phyllosticta pirina,叶片,blade,危害部位,InflictHarmPart
242,苹果灰斑病,Phyllosticta pirina,果实,fruit,危害部位,InflictHarmPart
243,苹果轮斑病,Alternaria mali,叶片,blade,危害部位,InflictHarmPart
244,苹果轮斑病,Alternaria mali,果实,fruit,危害部位,InflictHarmPart
245,苹果锈病,Gymnosporangium yamadae,枝干,Branches,危害部位,InflictHarmPart
246,苹果锈病,Gymnosporangium yamadae,叶片,blade,危害部位,InflictHarmPart
247,苹果锈病,Gymnosporangium yamadae,果实,fruit,危害部位,InflictHarmPart
248,苹果花腐病,Monilinia mali,枝干,Branches,危害部位,InflictHarmPart
249,苹果花腐病,Monilinia mali,叶片,blade,危害部位,InflictHarmPart
250,苹果花腐病,Monilinia mali,花器,Flower vases,危害部位,InflictHarmPart
251,苹果花腐病,Monilinia mali,果实,fruit,危害部位,InflictHarmPart
252,苹果疫腐病,Phytophthora cactorum,根系,Root system,危害部位,InflictHarmPart
253,苹果疫腐病,Phytophthora cactorum,枝干,Branches,危害部位,InflictHarmPart
254,苹果疫腐病,Phytophthora cactorum,叶片,blade,危害部位,InflictHarmPart
255,苹果疫腐病,Phytophthora cactorum,果实,fruit,危害部位,InflictHarmPart
256,苹果煤污病,Capnodium sp.,枝干,Branches,危害部位,InflictHarmPart
257,苹果煤污病,Capnodium sp.,果实,fruit,危害部位,InflictHarmPart
258,苹果圆斑病,Mycosphaerella pomi,枝干,Branches,危害部位,InflictHarmPart
259,苹果圆斑病,Mycosphaerella pomi,叶片,blade,危害部位,InflictHarmPart
260,苹果圆斑病,Mycosphaerella pomi,果实,fruit,危害部位,InflictHarmPart
261,苹果黑点病,Apple black spot disease,枝干,Branches,危害部位,InflictHarmPart
262,苹果黑点病,Apple black spot disease,叶片,blade,危害部位,InflictHarmPart
263,苹果黑点病,Apple black spot disease,果实,fruit,危害部位,InflictHarmPart
264,苹果黑腐病,Botryosphaeria obtusa,枝干,Branches,危害部位,InflictHarmPart
265,苹果黑腐病,Botryosphaeria obtusa,叶片,blade,危害部位,InflictHarmPart
266,苹果黑腐病,Botryosphaeria obtusa,花器,Flower vases,危害部位,InflictHarmPart
267,苹果黑腐病,Botryosphaeria obtusa,果实,fruit,危害部位,InflictHarmPart
268,苹果黑星病,Venturia inaequalis,枝干,Branches,危害部位,InflictHarmPart
269,苹果黑星病,Venturia inaequalis,叶片,blade,危害部位,InflictHarmPart
270,苹果黑星病,Venturia inaequalis,花器,Flower vases,危害部位,InflictHarmPart
271,苹果黑星病,Venturia inaequalis,果实,fruit,危害部位,InflictHarmPart
272,苹果褐斑病,Marssonina coronaria,叶片,blade,危害部位,InflictHarmPart
273,苹果褐斑病,Marssonina coronaria,果实,fruit,危害部位,InflictHarmPart
274,苹果斑点落叶病,Alternaria alternata f. sp. mali,叶片,blade,危害部位,InflictHarmPart
275,苹果斑点落叶病,Alternaria alternata f. sp. mali,枝干,Branches,危害部位,InflictHarmPart
276,苹果斑点落叶病,Alternaria alternata f. sp. mali,果实,fruit,危害部位,InflictHarmPart
277,苹果白粉病,Podosphaera leucotricha,枝干,Branches,危害部位,InflictHarmPart
278,苹果白粉病,Podosphaera leucotricha,叶片,blade,危害部位,InflictHarmPart
279,苹果白粉病,Podosphaera leucotricha,花朵,Flowers,危害部位,InflictHarmPart
280,苹果白粉病,Podosphaera leucotricha,果实,fruit,危害部位,InflictHarmPart
281,苹果银叶病,Chondrostereum purpureum,枝干,Branches,危害部位,InflictHarmPart
282,苹果银叶病,Chondrostereum purpureum,叶片,blade,危害部位,InflictHarmPart
283,苹果银叶病,Chondrostereum purpureum,果实,fruit,危害部位,InflictHarmPart
284,苹果银叶病,Chondrostereum purpureum,全株,Whole plant,危害部位,InflictHarmPart
285,苹果褐腐病,Monilinia fructigena,枝干,Branches,危害部位,InflictHarmPart
286,苹果褐腐病,Monilinia fructigena,果实,fruit,危害部位,InflictHarmPart
287,苹果丛枝病,Apple witches' - broom disease,根部,Root,危害部位,InflictHarmPart
288,苹果丛枝病,Apple witches' - broom disease,茎部,Stem,危害部位,InflictHarmPart
289,苹果丛枝病,Apple witches' - broom disease,叶片,blade,危害部位,InflictHarmPart
290,苹果丛枝病,Apple witches' - broom disease,花朵,Flowers,危害部位,InflictHarmPart
291,苹果丛枝病,Apple witches' - broom disease,果实,fruit,危害部位,InflictHarmPart
292,苹果丛枝病,Apple witches' - broom disease,全株,Whole plant,危害部位,InflictHarmPart
293,苹果缺磷症,Apple phosphorus deficiency,枝干,Branches,危害部位,InflictHarmPart
294,苹果缺磷症,Apple phosphorus deficiency,叶片,blade,危害部位,InflictHarmPart
295,苹果树根朽病,Armillaria mellea,根系,Root system,危害部位,InflictHarmPart
296,苹果树根朽病,Armillaria mellea,枝干,Branches,危害部位,InflictHarmPart
297,苹果树根朽病,Armillaria mellea,叶片,blade,危害部位,InflictHarmPart
298,苹果树根朽病,Armillaria mellea,果实,fruit,危害部位,InflictHarmPart
299,苹果树紫纹羽病,Helicobasidium mompa,根部,Root,危害部位,InflictHarmPart
300,苹果树紫纹羽病,Helicobasidium mompa,茎部,Stem,危害部位,InflictHarmPart
301,苹果树紫纹羽病,Helicobasidium mompa,叶片,blade,危害部位,InflictHarmPart
302,苹果树紫纹羽病,Helicobasidium mompa,全株,Whole plant,危害部位,InflictHarmPart
303,苹果树白绢病,Rosellinia necatrix (Hart.) berl.,根部,Root,危害部位,InflictHarmPart
304,苹果树白绢病,Rosellinia necatrix (Hart.) berl.,茎部,Stem,危害部位,InflictHarmPart
305,苹果树白绢病,Rosellinia necatrix (Hart.) berl.,叶片,blade,危害部位,InflictHarmPart
306,苹果树白绢病,Rosellinia necatrix (Hart.) berl.,果实,fruit,危害部位,InflictHarmPart
307,苹果树白绢病,Rosellinia necatrix (Hart.) berl.,全株,Whole plant,危害部位,InflictHarmPart
308,苹果圆斑根腐病,Fusarium oxysporum Schl.,根部,Root,危害部位,InflictHarmPart
309,苹果泡斑病,Pseudomonas syringae pv. papulans,叶片,blade,危害部位,InflictHarmPart
310,苹果根癌病,Agrobacterium tumefaciens Smith and Townsend Conn.,根部,Root,危害部位,InflictHarmPart
311,苹果根癌病,Agrobacterium tumefaciens Smith and Townsend Conn.,叶片,blade,危害部位,InflictHarmPart
312,苹果根癌病,Agrobacterium tumefaciens Smith and Townsend Conn.,果实,fruit,危害部位,InflictHarmPart
313,苹果根癌病,Agrobacterium tumefaciens Smith and Townsend Conn.,全株,Whole plant,危害部位,InflictHarmPart
