number,Chinese entity name,entity binomial scientific name,Chinese region,English region,Chinese relation,English relation
64,柑橘粉虱,Dialeurodes citri,台湾,Taiwan,主要发生地,RegionIs
65,柑橘粉虱,Dialeurodes citri,广东,Guangdong,主要发生地,RegionIs
66,柑橘粉虱,Dialeurodes citri,海南,Hainan,主要发生地,RegionIs
67,柑橘粉虱,Dialeurodes citri,广西,Guangxi,主要发生地,RegionIs
68,柑橘粉虱,Dialeurodes citri,云南,Yunnan,主要发生地,RegionIs
69,柑橘粉虱,Ceroplastes rubens,四川,Sichuan,主要发生地,RegionIs
70,红蜡蚧,Ceroplastes rubens,浙江,Zhejiang,主要发生地,RegionIs
71,红蜡蚧,Buzura suppressaria,贵州,Guizhou,主要发生地,RegionIs
72,油桐尺蛾,Buzura suppressaria,安徽,Anhui,主要发生地,RegionIs
73,油桐尺蛾,Buzura suppressaria,江苏,Jiangsu,主要发生地,RegionIs
74,油桐尺蛾,Buzura suppressaria,浙江,Zhejiang,主要发生地,RegionIs
75,油桐尺蛾,Buzura suppressaria,江西,Jiangxi,主要发生地,RegionIs
76,油桐尺蛾,Buzura suppressaria,湖北,Hubei,主要发生地,RegionIs
77,油桐尺蛾,Buzura suppressaria,湖南,Hunan,主要发生地,RegionIs
78,油桐尺蛾,Buzura suppressaria,四川,Sichuan,主要发生地,RegionIs
79,油桐尺蛾,Buzura suppressaria,贵州,Guizhou,主要发生地,RegionIs
80,油桐尺蛾,Buzura suppressaria,广东,Guangdong,主要发生地,RegionIs
81,油桐尺蛾,Buzura suppressaria,广西,Guangxi,主要发生地,RegionIs
82,油桐尺蛾,Buzura suppressaria,福建,Fujian,主要发生地,RegionIs
83,油桐尺蛾,Agrilus auriventris,云南,Yunnan,主要发生地,RegionIs
84,柑橘溜皮虫,Agrilus auriventris,湖南,Hunan,主要发生地,RegionIs
85,柑橘溜皮虫,Agrilus auriventris,福建,Fujian,主要发生地,RegionIs
86,柑橘溜皮虫,Agrilus auriventris,江西,Jiangxi,主要发生地,RegionIs
87,柑橘溜皮虫,Agrilus auriventris,广东,Guangdong,主要发生地,RegionIs
88,柑橘溜皮虫,Aceria litchii,广西,Guangxi,主要发生地,RegionIs
89,荔枝瘿螨,Acrocercops cramerella,广西,Guangxi,主要发生地,RegionIs
90,爻纹细蛾,Acrocercops cramerella,福建,Fujian,主要发生地,RegionIs
91,爻纹细蛾,Acrocercops cramerella,台湾,Taiwan,主要发生地,RegionIs
92,爻纹细蛾,Acrocercops cramerella,广东,Guangdong,主要发生地,RegionIs
93,爻纹细蛾,Acrocercops cramerella,海南,Hainan,主要发生地,RegionIs
94,爻纹细蛾,Acrocercops cramerella,广西,Guangxi,主要发生地,RegionIs
95,爻纹细蛾,Acrocercops cramerella,四川,Sichuan,主要发生地,RegionIs
96,爻纹细蛾,Achaea janata,浙江,Zhejiang,主要发生地,RegionIs
97,蓖麻夜蛾,Achaea janata,湖南,Hunan,主要发生地,RegionIs
98,蓖麻夜蛾,Achaea janata,台湾,Taiwan,主要发生地,RegionIs
99,蓖麻夜蛾,Achaea janata,云南,Yunnan,主要发生地,RegionIs
100,蓖麻夜蛾,Achaea janata,广东,Guangdong,主要发生地,RegionIs
101,蓖麻夜蛾,Achaea janata,广西,Guangxi,主要发生地,RegionIs
102,蓖麻夜蛾,Rhytidodera bowringii,西藏,Tibet,主要发生地,RegionIs
103,脊胸天牛,Rhytidodera bowringii,广东,Guangdong,主要发生地,RegionIs
104,脊胸天牛,Rhytidodera bowringii,广西,Guangxi,主要发生地,RegionIs
105,脊胸天牛,Idioscopus clypealis,云南,Yunnan,主要发生地,RegionIs
106,杧果扁喙叶蝉,Idioscopus clypealis,福建,Fujian,主要发生地,RegionIs
107,杧果扁喙叶蝉,Idioscopus clypealis,广东,Guangdong,主要发生地,RegionIs
108,杧果扁喙叶蝉,Idioscopus clypealis,广西,Guangxi,主要发生地,RegionIs
109,杧果扁喙叶蝉,Anoplophora chinensis,云南,Yunnan,主要发生地,RegionIs
110,黄星天牛,Anoplophora chinensis,河北,Hebei,主要发生地,RegionIs
111,黄星天牛,Anoplophora chinensis,江苏,Jiangsu,主要发生地,RegionIs
112,黄星天牛,Anoplophora chinensis,浙江,Zhejiang,主要发生地,RegionIs
113,黄星天牛,Anoplophora chinensis,安徽,Anhui,主要发生地,RegionIs
114,黄星天牛,Anoplophora chinensis,江西,Jiangxi,主要发生地,RegionIs
115,黄星天牛,Anoplophora chinensis,四川,Sichuan,主要发生地,RegionIs
116,黄星天牛,Anoplophora chinensis,云南,Yunnan,主要发生地,RegionIs
117,黄星天牛,Anoplophora chinensis,台湾,Taiwan,主要发生地,RegionIs
118,四纹丽金龟,Popillia quadriguttata,辽宁,Liaoning,主要发生地,RegionIs
119,四纹丽金龟,Popillia quadriguttata,蒙古,Mongolia,主要发生地,RegionIs
120,四纹丽金龟,Popillia quadriguttata,宁夏,Ningxia,主要发生地,RegionIs
121,四纹丽金龟,Popillia quadriguttata,甘肃,Gansu,主要发生地,RegionIs
122,四纹丽金龟,Popillia quadriguttata,青海,Qinghai,主要发生地,RegionIs
123,四纹丽金龟,Popillia quadriguttata,陕西,Shaanxi,主要发生地,RegionIs
124,四纹丽金龟,Popillia quadriguttata,山西,Shanxi,主要发生地,RegionIs
125,四纹丽金龟,Popillia quadriguttata,北京,Beijing,主要发生地,RegionIs
126,四纹丽金龟,Popillia quadriguttata,河北,Hebei,主要发生地,RegionIs
127,四纹丽金龟,Popillia quadriguttata,山东,Shandong,主要发生地,RegionIs
128,四纹丽金龟,Popillia quadriguttata,江苏,Jiangsu,主要发生地,RegionIs
129,四纹丽金龟,Popillia quadriguttata,浙江,Zhejiang,主要发生地,RegionIs
130,四纹丽金龟,Popillia quadriguttata,福建,Fujian,主要发生地,RegionIs
131,四纹丽金龟,Popillia quadriguttata,台湾,Taiwan,主要发生地,RegionIs
132,四纹丽金龟,Popillia quadriguttata,湖南,Hunan,主要发生地,RegionIs
133,四纹丽金龟,Popillia quadriguttata,广西,Guangxi,主要发生地,RegionIs
134,四纹丽金龟,Popillia quadriguttata,四川,Sichuan,主要发生地,RegionIs
135,顶芽卷蛾,Spilonota lechriaspis,华北,North China,主要发生地,RegionIs
136,顶芽卷蛾,Spilonota lechriaspis,华东,East China,主要发生地,RegionIs
137,顶芽卷蛾,Spilonota lechriaspis,西北,Northwest,主要发生地,RegionIs
138,李枯叶蛾,Gastropacha quercifolia,东北,Northeast,主要发生地,RegionIs
139,李枯叶蛾,Gastropacha quercifolia,华北,North China,主要发生地,RegionIs
140,李枯叶蛾,Gastropacha quercifolia,西北,Northwest,主要发生地,RegionIs
141,李枯叶蛾,Gastropacha quercifolia,华东,East China,主要发生地,RegionIs
142,李枯叶蛾,Gastropacha quercifolia,中南,Central South,主要发生地,RegionIs
143,樱桃实蜂,Hoplocampa fulvicornis,陕西,Shaanxi,主要发生地,RegionIs
144,杏白带麦蛾,Spilonota albicana,河北,Hebei,主要发生地,RegionIs
145,杏白带麦蛾,Spilonota albicana,河南,Henan,主要发生地,RegionIs
146,杏白带麦蛾,Spilonota albicana,山西,Shanxi,主要发生地,RegionIs
147,杏白带麦蛾,Spilonota albicana,陕西,Shaanxi,主要发生地,RegionIs
148,樱桃粘叶蜂,Caliroa cerasi,西北,Northwest,主要发生地,RegionIs
149,樱桃粘叶蜂,Caliroa cerasi,山东,Shandong,主要发生地,RegionIs
150,樱桃粘叶蜂,Caliroa cerasi,河南,Henan,主要发生地,RegionIs
151,樱桃粘叶蜂,Caliroa cerasi,山西,Shanxi,主要发生地,RegionIs
152,樱桃粘叶蜂,Caliroa cerasi,四川,Sichuan,主要发生地,RegionIs
153,樱桃粘叶蜂,Caliroa cerasi,云南,Yunnan,主要发生地,RegionIs
154,樱桃粘叶蜂,Caliroa cerasi,江苏,Jiangsu,主要发生地,RegionIs
155,樱桃卷叶蚜,Myzus cerasi,吉林,Jilin,主要发生地,RegionIs
156,樱桃瘿瘤头蚜,Myzus cerasi,浙江,Zhejiang,主要发生地,RegionIs
157,樱桃瘿瘤头蚜,Myzus cerasi,北京,Beijing,主要发生地,RegionIs
158,樱桃瘿瘤头蚜,Myzus cerasi,河南,Henan,主要发生地,RegionIs
159,樱桃瘿瘤头蚜,Myzus cerasi,河北,Hebei,主要发生地,RegionIs
160,葡萄煤点病,Grape sooty blotch,吉林,Jilin,主要发生地,RegionIs
161,葡萄煤点病,Grape sooty blotch,辽宁,Liaoning,主要发生地,RegionIs
162,葡萄煤点病,Grape sooty blotch,河北,Hebei,主要发生地,RegionIs
163,葡萄煤点病,Grape sooty blotch,陕西,Shaanxi,主要发生地,RegionIs
164,葡萄煤点病,Grape sooty blotch,河南,Henan,主要发生地,RegionIs
165,葡萄煤点病,Grape sooty blotch,江苏,Jiangsu,主要发生地,RegionIs
166,葡萄房枯病,Guignardia bidwellii,安徽,Anhui,主要发生地,RegionIs
167,葡萄房枯病,Guignardia bidwellii,江苏,Jiangsu,主要发生地,RegionIs
168,葡萄房枯病,Guignardia bidwellii,山东,Shandong,主要发生地,RegionIs
169,葡萄房枯病,Guignardia bidwellii,河北,Hebei,主要发生地,RegionIs
170,葡萄房枯病,Guignardia bidwellii,辽宁,Liaoning,主要发生地,RegionIs
171,葡萄房枯病,Guignardia bidwellii,广东,Guangdong,主要发生地,RegionIs
172,葡萄大房枯病,Grape large shot - hole,河南,Henan,主要发生地,RegionIs
173,葡萄大房枯病,Grape large shot - hole,四川,Sichuan,主要发生地,RegionIs
174,葡萄大房枯病,Grape large shot - hole,广东,Guangdong,主要发生地,RegionIs
175,葡萄灰霉病,Botrytis cinerea,山东,Shandong,主要发生地,RegionIs
176,葡萄灰霉病,Botrytis cinerea,四川,Sichuan,主要发生地,RegionIs
177,葡萄灰霉病,Botrytis cinerea,上海,Shanghai,主要发生地,RegionIs
178,葡萄灰霉病,Botrytis cinerea,湖南,Hunan,主要发生地,RegionIs
179,葡萄锈病,Grape rust,广州,Guangzhou,主要发生地,RegionIs
180,葡萄锈病,Grape rust,广西,Guangxi,主要发生地,RegionIs
181,葡萄锈病,Grape rust,云南,Yunnan,主要发生地,RegionIs
182,葡萄锈病,Grape rust,福建,Fujian,主要发生地,RegionIs
183,葡萄锈病,Grape rust,四川,Sichuan,主要发生地,RegionIs
184,葡萄锈病,Grape rust,江南,Jiangnan,主要发生地,RegionIs
185,葡萄根癌病,Agrobacterium tumefaciens,江苏,Jiangsu,主要发生地,RegionIs
186,葡萄根癌病,Agrobacterium tumefaciens,安徽,Anhui,主要发生地,RegionIs
187,葡萄根癌病,Agrobacterium tumefaciens,湖南,Hunan,主要发生地,RegionIs
188,葡萄根癌病,Agrobacterium tumefaciens,江西,Jiangxi,主要发生地,RegionIs
189,葡萄根癌病,Agrobacterium tumefaciens,辽宁,Liaoning,主要发生地,RegionIs
190,葡萄根癌病,Agrobacterium tumefaciens,上海,Shanghai,主要发生地,RegionIs
191,葡萄卷叶病,Grape leaf roll,京,Capital,主要发生地,RegionIs
192,葡萄卷叶病,Grape leaf roll,北,North,主要发生地,RegionIs
193,葡萄卷叶病,Grape leaf roll,津,Tianjin,主要发生地,RegionIs
194,葡萄卷叶病,Grape leaf roll,东,East,主要发生地,RegionIs
195,葡萄斑点病,Grape spot,郑州,Zhengzhou,主要发生地,RegionIs
196,葡萄斑点病,Grape spot,沈阳,Shenyang,主要发生地,RegionIs
197,葡萄瘿蚊,Grape gall midge,陕西,Shaanxi,主要发生地,RegionIs
198,栗炭疽病,Colletotrichum gloeosporioides,江苏,Jiangsu,主要发生地,RegionIs
199,栗炭疽病,Colletotrichum gloeosporioides,浙江,Zhejiang,主要发生地,RegionIs
200,栗炭疽病,Colletotrichum gloeosporioides,江西,Jiangxi,主要发生地,RegionIs
201,栗炭疽病,Colletotrichum gloeosporioides,福建,Fujian,主要发生地,RegionIs
202,栗炭疽病,Oligonychus ununguis,广东,Guangdong,主要发生地,RegionIs
203,栗小爪螨,Oligonychus ununguis,北京,Beijing,主要发生地,RegionIs
204,栗小爪螨,Oligonychus ununguis,河南,Henan,主要发生地,RegionIs
205,栗小爪螨,Oligonychus ununguis,山东,Shandong,主要发生地,RegionIs
206,栗小爪螨,Oligonychus ununguis,江苏,Jiangsu,主要发生地,RegionIs
207,栗小爪螨,Oligonychus ununguis,安徽,Anhui,主要发生地,RegionIs
208,栗小爪螨,Oligonychus ununguis,浙江,Zhejiang,主要发生地,RegionIs
209,栗小爪螨,Aegeria molybdoceps,江西,Jiangxi,主要发生地,RegionIs
210,栗透翅蛾,Aegeria molybdoceps,山东,Shandong,主要发生地,RegionIs
211,栗透翅蛾,Xanthomonas arboricola pv. juglandis,江西,Jiangxi,主要发生地,RegionIs
212,核桃黑斑病,Xanthomonas arboricola pv. juglandis,东北,Northeast,主要发生地,RegionIs
213,核桃黑斑病,Xanthomonas arboricola pv. juglandis,华北,North China,主要发生地,RegionIs
214,核桃黑斑病,Marssonina juglandis,西北,Northwest,主要发生地,RegionIs
215,核桃褐斑病,Marssonina juglandis,陕西,Shaanxi,主要发生地,RegionIs
216,核桃褐斑病,Marssonina juglandis,河北,Hebei,主要发生地,RegionIs
217,核桃褐斑病,Marssonina juglandis,吉林,Jilin,主要发生地,RegionIs
218,核桃褐斑病,Marssonina juglandis,四川,Sichuan,主要发生地,RegionIs
219,核桃褐斑病,Marssonina juglandis,河南,Henan,主要发生地,RegionIs
220,核桃褐斑病,Marssonina juglandis,山东,Shandong,主要发生地,RegionIs
221,云斑天牛,Batocera horsfieldi,华北,North China,主要发生地,RegionIs
222,云斑天牛,Batocera horsfieldi,东北,Northeast,主要发生地,RegionIs
223,云斑天牛,Batocera horsfieldi,华中,Central China,主要发生地,RegionIs
224,云斑天牛,Batocera horsfieldi,华南,South China,主要发生地,RegionIs
225,木橑尺蠖,Culcula panterinaria,西北,Northwest,主要发生地,RegionIs
226,木橑尺蠖,Culcula panterinaria,西南,Southwest,主要发生地,RegionIs
227,木橑尺蠖,Culcula panterinaria,华中,Central China,主要发生地,RegionIs
228,核桃黑斑蚜,Chromaphis juglandicola,辽宁,Liaoning,主要发生地,RegionIs
229,枣焦叶病,Jujube leaf scorch disease,河南,Henan,主要发生地,RegionIs
230,枣焦叶病,Jujube leaf scorch disease,甘肃,Gansu,主要发生地,RegionIs
231,枣焦叶病,Jujube leaf scorch disease,内蒙,Inner Mongolia,主要发生地,RegionIs
232,枣焦叶病,Jujube leaf scorch disease,安徽,Anhui,主要发生地,RegionIs
233,枣焦叶病,Jujube leaf scorch disease,浙江,Zhejiang,主要发生地,RegionIs
234,枣炭疽病,Colletotrichum gloeosporioides,河南,Henan,主要发生地,RegionIs
235,枣炭疽病,Colletotrichum gloeosporioides,山西,Shanxi,主要发生地,RegionIs
236,枣炭疽病,Colletotrichum gloeosporioides,陕西,Shaanxi,主要发生地,RegionIs
237,枣炭疽病,Colletotrichum gloeosporioides,安徽,Anhui,主要发生地,RegionIs
238,枣轮纹病,Botryosphaeria dothidea,河南,Henan,主要发生地,RegionIs
239,枣轮纹病,Botryosphaeria dothidea,河北,Hebei,主要发生地,RegionIs
240,枣轮纹病,Botryosphaeria dothidea,山东,Shandong,主要发生地,RegionIs
241,枣轮纹病,Botryosphaeria dothidea,安徽,Anhui,主要发生地,RegionIs
242,枣灰斑病,Jujube gray spot disease,安徽,Anhui,主要发生地,RegionIs
243,枣灰斑病,Jujube gray spot disease,河南,Henan,主要发生地,RegionIs
244,枣飞象,Scythropus yasumatsui,河南,Henan,主要发生地,RegionIs
245,枣飞象,Scythropus yasumatsui,河北,Hebei,主要发生地,RegionIs
246,枣飞象,Scythropus yasumatsui,山东,Shandong,主要发生地,RegionIs
247,枣飞象,Scythropus yasumatsui,陕西,Shaanxi,主要发生地,RegionIs
248,枣飞象,Scythropus yasumatsui,山西,Shanxi,主要发生地,RegionIs
249,枣飞象,Scythropus yasumatsui,辽宁,Liaoning,主要发生地,RegionIs
250,梨叶蜂,Caliroa matsumotonis,山东,Shandong,主要发生地,RegionIs
251,梨叶蜂,Caliroa matsumotonis,河南,Henan,主要发生地,RegionIs
252,梨叶蜂,Caliroa matsumotonis,山西,Shanxi,主要发生地,RegionIs
253,梨叶蜂,Caliroa matsumotonis,四川,Sichuan,主要发生地,RegionIs
254,梨叶蜂,Caliroa matsumotonis,云南,Yunnan,主要发生地,RegionIs
255,梨叶蜂,Caliroa matsumotonis,江苏,Jiangsu,主要发生地,RegionIs
256,梨黄粉蚜,Aphis citricola,辽宁,Liaoning,主要发生地,RegionIs
257,梨黄粉蚜,Aphis citricola,河北,Hebei,主要发生地,RegionIs
258,梨黄粉蚜,Aphis citricola,山东,Shandong,主要发生地,RegionIs
259,梨黄粉蚜,Aphis citricola,江苏,Jiangsu,主要发生地,RegionIs
260,梨黄粉蚜,Aphis citricola,安徽,Anhui,主要发生地,RegionIs
261,梨黄粉蚜,Aphis citricola,河南,Henan,主要发生地,RegionIs
262,梨黄粉蚜,Aphis citricola,陕西,Shaanxi,主要发生地,RegionIs
263,中国梨木虱,Psylla chinensis,河北,Hebei,主要发生地,RegionIs
264,中国梨木虱,Psylla chinensis,山东,Shandong,主要发生地,RegionIs
265,中国梨木虱,Psylla chinensis,山西,Shanxi,主要发生地,RegionIs
266,中国梨木虱,Psylla chinensis,陕西,Shaanxi,主要发生地,RegionIs
267,中国梨木虱,Psylla chinensis,宁夏,Ningxia,主要发生地,RegionIs
268,中国梨木虱,Psylla chinensis,安徽,Anhui,主要发生地,RegionIs
269,梨潜皮细蛾,Acrocercops astaurota,辽宁,Liaoning,主要发生地,RegionIs
270,梨潜皮细蛾,Acrocercops astaurota,河北,Hebei,主要发生地,RegionIs
271,梨潜皮细蛾,Acrocercops astaurota,山东,Shandong,主要发生地,RegionIs
272,梨潜皮细蛾,Acrocercops astaurota,河南,Henan,主要发生地,RegionIs
273,梨潜皮细蛾,Acrocercops astaurota,陕西,Shaanxi,主要发生地,RegionIs
274,梨潜皮细蛾,Acrocercops astaurota,甘肃,Gansu,主要发生地,RegionIs
275,梨潜皮细蛾,Acrocercops astaurota,四川,Sichuan,主要发生地,RegionIs
276,梨潜皮细蛾,Acrocercops astaurota,江苏,Jiangsu,主要发生地,RegionIs
277,梨潜皮细蛾,Acrocercops astaurota,浙江,Zhejiang,主要发生地,RegionIs
278,梨叶肿瘿螨,Eriophyes pyri,吉林,Jilin,主要发生地,RegionIs
279,梨叶肿瘿螨,Eriophyes pyri,辽宁,Liaoning,主要发生地,RegionIs
280,梨叶肿瘿螨,Eriophyes pyri,河北,Hebei,主要发生地,RegionIs
281,梨叶肿瘿螨,Eriophyes pyri,河南,Henan,主要发生地,RegionIs
282,梨叶肿瘿螨,Eriophyes pyri,山东,Shandong,主要发生地,RegionIs
283,梨叶肿瘿螨,Eriophyes pyri,江苏,Jiangsu,主要发生地,RegionIs
284,梨叶肿瘿螨,Eriophyes pyri,山西,Shanxi,主要发生地,RegionIs
285,梨叶肿瘿螨,Eriophyes pyri,宁夏,Ningxia,主要发生地,RegionIs
286,梨叶肿瘿螨,Eriophyes pyri,陕西,Shaanxi,主要发生地,RegionIs
287,梨叶肿瘿螨,Eriophyes pyri,青海,Qinghai,主要发生地,RegionIs
288,梨叶肿瘿螨,Eriophyes pyri,新疆,Xinjiang,主要发生地,RegionIs
289,梨叶肿瘿螨,Eriophyes pyri,四川,Sichuan,主要发生地,RegionIs
290,果红裙扁身夜蛾,Amyna octo,湖北,Hubei,主要发生地,RegionIs
291,果红裙扁身夜蛾,Amyna octo,四川,Sichuan,主要发生地,RegionIs
292,山楂花腐病,Monilinia johnsonii,吉林,Jilin,主要发生地,RegionIs
293,山楂枯梢病,Hawthorn dieback disease,辽宁,Liaoning,主要发生地,RegionIs
294,山楂枯梢病,Hawthorn dieback disease,河南,Henan,主要发生地,RegionIs
295,山楂枯梢病,Hawthorn dieback disease,河北,Hebei,主要发生地,RegionIs
296,山楂喀木虱,Cacopsylla idiocrataegi,辽宁,Liaoning,主要发生地,RegionIs
297,山楂喀木虱,Cacopsylla idiocrataegi,河北,Hebei,主要发生地,RegionIs
298,山楂喀木虱,Cacopsylla idiocrataegi,山西,Shanxi,主要发生地,RegionIs
299,芽白小卷蛾,Spilonota ocellana,华北,North China,主要发生地,RegionIs
300,芽白小卷蛾,Spilonota ocellana,华东,East China,主要发生地,RegionIs
301,芽白小卷蛾,Spilonota ocellana,西北,Northwest,主要发生地,RegionIs
302,旋纹潜叶蛾,Leucoptera scitella,吉林,Jilin,主要发生地,RegionIs
303,旋纹潜叶蛾,Leucoptera scitella,辽宁,Liaoning,主要发生地,RegionIs
304,旋纹潜叶蛾,Leucoptera scitella,河北,Hebei,主要发生地,RegionIs
305,旋纹潜叶蛾,Leucoptera scitella,山西,Shanxi,主要发生地,RegionIs
306,旋纹潜叶蛾,Leucoptera scitella,陕西,Shaanxi,主要发生地,RegionIs
307,旋纹潜叶蛾,Leucoptera scitella,宁夏,Ningxia,主要发生地,RegionIs
308,旋纹潜叶蛾,Leucoptera scitella,新疆,Xinjiang,主要发生地,RegionIs
309,旋纹潜叶蛾,Leucoptera scitella,山东,Shandong,主要发生地,RegionIs
310,旋纹潜叶蛾,Leucoptera scitella,江苏,Jiangsu,主要发生地,RegionIs
311,旋纹潜叶蛾,Leucoptera scitella,河南,Henan,主要发生地,RegionIs
312,旋纹潜叶蛾,Leucoptera scitella,四川,Sichuan,主要发生地,RegionIs
313,旋纹潜叶蛾,Leucoptera scitella,贵州,Guizhou,主要发生地,RegionIs
314,红棕灰夜蛾,Polia illoba,河北,Hebei,主要发生地,RegionIs
315,红棕灰夜蛾,Polia illoba,华东,East China,主要发生地,RegionIs
316,红棕灰夜蛾,Polia illoba,甘肃,Gansu,主要发生地,RegionIs
317,红棕灰夜蛾,Polia illoba,江西,Jiangxi,主要发生地,RegionIs
318,东方盔蚧,Parthenolecanium corni,东北,Northeast,主要发生地,RegionIs
319,东方盔蚧,Parthenolecanium corni,华北,North China,主要发生地,RegionIs
320,东方盔蚧,Parthenolecanium corni,西北,Northwest,主要发生地,RegionIs
321,东方盔蚧,Parthenolecanium corni,华东,East China,主要发生地,RegionIs
